num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
4385,647,5032,6.777434312210201
616,536,1152,1.1492537313432836
281,33,314,8.515151515151516
88,356,444,0.247191011235955
2202,353,2555,6.237960339943343
121,814,935,0.1486486486486486
75,983,1058,0.0762970498474059
4946,301,5247,16.431893687707642
5194,773,5967,6.719275549805951
2223,502,2725,4.4282868525896415
2120,3,2123,706.6666666666666
1559,314,1873,4.964968152866242
5867,962,6829,6.098752598752599
1902,904,2806,2.103982300884956
27,331,358,0.0815709969788519
4992,419,5411,11.914081145584726
3553,56,3609,63.44642857142857
3034,496,3530,6.116935483870968
810,29,839,27.93103448275862
5367,382,5749,14.049738219895287
4005,993,4998,4.033232628398792
12,87,99,0.1379310344827586
1011,706,1717,1.4320113314447591
650,924,1574,0.7034632034632035
3527,889,4416,3.967379077615298
1904,326,2230,5.840490797546012
6077,895,6972,6.789944134078213
2752,349,3101,7.885386819484241
636,431,1067,1.4756380510440836
579,262,841,2.2099236641221376
2965,860,3825,3.447674418604651
623,116,739,5.370689655172414
478,782,1260,0.6112531969309463
21,343,364,0.0612244897959183
3825,358,4183,10.68435754189944
2826,740,3566,3.818918918918919
2859,362,3221,7.897790055248619
5864,843,6707,6.956109134045077
10,613,623,0.0163132137030995
820479,576,821055,1424.4427083333333
550,94,644,5.851063829787234
6834,393,7227,17.389312977099237
1478,622,2100,2.3762057877813505
1754,278,2032,6.309352517985611
954,39,993,24.46153846153846
3951,450,4401,8.78
6729,136,6865,49.47794117647059
1492,584,2076,2.554794520547945
1478,622,2100,2.3762057877813505
5502,326,5828,16.87730061349693
824,748,1572,1.1016042780748665
6395,343,6738,18.644314868804663
2975,981,3956,3.032619775739042
7741,260,8001,29.773076923076925
3376,477,3853,7.077568134171908
2689,175,2864,15.365714285714288
470,664,1134,0.7078313253012049
1978,38,2016,52.05263157894737
145,51,196,2.843137254901961
1252,861,2113,1.454123112659698
5188,203,5391,25.55665024630542
2142,638,2780,3.3573667711598745
7338,493,7831,14.884381338742394
1333,48,1381,27.77083333333333
690,590,1280,1.1694915254237288
1486,849,2335,1.7502944640753828
1136,654,1790,1.7370030581039757
1111,319,1430,3.4827586206896552
2365,978,3343,2.418200408997955
246,147,393,1.673469387755102
110,250,360,0.44
35,816,851,0.0428921568627451
2112,563,2675,3.751332149200711
103,585,688,0.176068376068376
1129,546,1675,2.067765567765568
6118,1019,7137,6.003925417075564
58,397,455,0.1460957178841309
1318,358,1676,3.681564245810056
4181,295,4476,14.172881355932205
673,358,1031,1.8798882681564248
1740,342,2082,5.087719298245614
6702,338,7040,19.828402366863905
55,753,808,0.0730411686586985
7259,645,7904,11.254263565891472
400903,289,401192,1387.2076124567477
2336,832,3168,2.8076923076923075
2307,324,2631,7.12037037037037
1236,177,1413,6.983050847457627
3536,322,3858,10.98136645962733
1611,437,2048,3.68649885583524
13,586,599,0.0221843003412969
3160,257,3417,12.295719844357976
2585,551,3136,4.691470054446461
2796,947,3743,2.9524815205913413
4873,322,5195,15.133540372670808
820,357,1177,2.296918767507002
509,78,587,6.5256410256410255
4685,257,4942,18.2295719844358
7383,30,7413,246.1
2132,517,2649,4.123791102514507
964,493,1457,1.955375253549696
3479,930,4409,3.7408602150537633
6453,225,6678,28.68
3751,712,4463,5.268258426966292
53,677,730,0.0782865583456425
10,411,421,0.024330900243309
806,314,1120,2.56687898089172
1932,348,2280,5.551724137931035
4842,513,5355,9.43859649122807
1921,334,2255,5.751497005988024
1886,481,2367,3.920997920997921
2599,383,2982,6.785900783289817
929,694,1623,1.3386167146974064
2884,643,3527,4.485225505443235
6864,298,7162,23.033557046979865
2652,546,3198,4.857142857142857
1443,259,1702,5.571428571428571
180,37,217,4.864864864864865
1531,923,2454,1.658721560130011
1401,40,1441,35.025
3323,994,4317,3.343058350100604
5795,708,6503,8.185028248587571
4377,756,5133,5.78968253968254
28,336,364,0.0833333333333333
20,590,610,0.0338983050847457
19,332,351,0.0572289156626506
2875,338,3213,8.505917159763314
5723,166,5889,34.475903614457835
3458,625,4083,5.5328
2550,355,2905,7.183098591549296
4543,960,5503,4.732291666666667
595,509,1104,1.168958742632613
3356,748,4104,4.4866310160427805
640,29,669,22.06896551724138
649,456,1105,1.4232456140350878
32,46,78,0.6956521739130435
5501,414,5915,13.28743961352657
10,810,820,0.0123456790123456
63,461,524,0.1366594360086767
6215,836,7051,7.434210526315789
27,475,502,0.0568421052631578
1806,939,2745,1.9233226837060704
4241,930,5171,4.560215053763441
4454,162,4616,27.493827160493822
