,cdf,Number of Total Tokens
0,0.0,1075.9957888448923
1,0.01,1075.9957888448923
2,0.02,1075.9957888448923
3,0.03,1075.9957888448923
4,0.04,1075.9957888448923
5,0.05,1075.9957888448923
6,0.06,1075.9957888448923
7,0.07,1075.9957888448923
8,0.08,1075.9957888448923
9,0.09,1075.9957888448923
10,0.1,1075.9957888448923
11,0.11,1075.9957888448923
12,0.12,1075.9957888448923
13,0.13,1075.9957888448923
14,0.14,1075.9957888448923
15,0.15,1075.9957888448923
16,0.16,1075.9957888448923
17,0.17,1075.9957888448923
18,0.18,1075.9957888448923
19,0.19,1075.9957888448923
20,0.2,1075.9957888448923
21,0.21,1075.9957888448923
22,0.22,1075.9957888448923
23,0.23,1075.9957888448923
24,0.24,1075.9957888448923
25,0.25,1075.9957888448923
26,0.26,1075.9957888448923
27,0.27,1075.9957888448923
28,0.28,1075.9957888448923
29,0.29,1075.9957888448923
30,0.3,1075.9957888448923
31,0.31,1075.9957888448923
32,0.32,1075.9957888448923
33,0.33,1075.9957888448923
34,0.34,1075.9957888448923
35,0.35000000000000003,1075.9957888448923
36,0.36,1075.9957888448923
37,0.37,1075.9957888448923
38,0.38,1075.9957888448923
39,0.39,1075.9957888448923
40,0.4,1075.9957888448923
41,0.41000000000000003,1075.9957888448923
42,0.42,1075.9957888448923
43,0.43,1075.9957888448923
44,0.44,1075.9957888448923
45,0.45,1075.9957888448923
46,0.46,1075.9957888448923
47,0.47000000000000003,1075.9957888448923
48,0.48,1075.9957888448923
49,0.49,1075.9957888448923
50,0.5,1075.9957888448923
51,0.51,1075.9957888448923
52,0.52,1075.9957888448923
53,0.53,1075.9957888448923
54,0.54,1075.9957888448923
55,0.55,1075.9957888448923
56,0.56,1075.9957888448923
57,0.5700000000000001,1075.9957888448923
58,0.58,1075.9957888448923
59,0.59,1075.9957888448923
60,0.6,1075.9957888448923
61,0.61,1075.9957888448923
62,0.62,1075.9957888448923
63,0.63,1075.9957888448923
64,0.64,1075.9957888448923
65,0.65,1075.9957888448923
66,0.66,1075.9957888448923
67,0.67,1075.9957888448923
68,0.68,1075.9957888448923
69,0.6900000000000001,1075.9957888448923
70,0.7000000000000001,1075.9957888448923
71,0.71,1075.9957888448923
72,0.72,1075.9957888448923
73,0.73,1075.9957888448923
74,0.74,1075.9957888448923
75,0.75,1075.9957888448923
76,0.76,1075.9957888448923
77,0.77,1075.9957888448923
78,0.78,1075.9957888448923
79,0.79,1075.9957888448923
80,0.8,1075.9957888448923
81,0.81,1075.9957888448923
82,0.8200000000000001,1075.9957888448923
83,0.8300000000000001,1075.9957888448923
84,0.84,1075.9957888448923
85,0.85,1075.9957888448923
86,0.86,1075.9957888448923
87,0.87,1075.9957888448923
88,0.88,1075.9957888448923
89,0.89,1075.9957888448923
90,0.9,1075.9957888448923
91,0.91,1075.9957888448923
92,0.92,1075.9957888448923
93,0.93,1075.9957888448923
94,0.9400000000000001,1075.9957888448923
95,0.9500000000000001,1075.9957888448923
96,0.96,1075.9957888448923
97,0.97,1075.9957888448923
98,0.98,1075.9957888448923
99,0.99,1075.9957888448923
100,1.0,1075.9957888448923
