,cdf,Number of Output Tokens
0,0.0,28.991440241586453
1,0.01,28.991440241586453
2,0.02,28.991440241586453
3,0.03,28.991440241586453
4,0.04,28.991440241586453
5,0.05,28.991440241586453
6,0.06,28.991440241586453
7,0.07,28.991440241586453
8,0.08,28.991440241586453
9,0.09,28.991440241586453
10,0.1,28.991440241586453
11,0.11,28.991440241586453
12,0.12,28.991440241586453
13,0.13,28.991440241586453
14,0.14,28.991440241586453
15,0.15,28.991440241586453
16,0.16,28.991440241586453
17,0.17,28.991440241586453
18,0.18,28.991440241586453
19,0.19,28.991440241586453
20,0.2,28.991440241586453
21,0.21,28.991440241586453
22,0.22,28.991440241586453
23,0.23,28.991440241586453
24,0.24,28.991440241586453
25,0.25,28.991440241586453
26,0.26,28.991440241586453
27,0.27,28.991440241586453
28,0.28,28.991440241586453
29,0.29,28.991440241586453
30,0.3,28.991440241586453
31,0.31,28.991440241586453
32,0.32,28.991440241586453
33,0.33,28.991440241586453
34,0.34,28.991440241586453
35,0.35000000000000003,28.991440241586453
36,0.36,28.991440241586453
37,0.37,28.991440241586453
38,0.38,28.991440241586453
39,0.39,28.991440241586453
40,0.4,28.991440241586453
41,0.41000000000000003,28.991440241586453
42,0.42,28.991440241586453
43,0.43,28.991440241586453
44,0.44,28.991440241586453
45,0.45,28.991440241586453
46,0.46,28.991440241586453
47,0.47000000000000003,28.991440241586453
48,0.48,28.991440241586453
49,0.49,28.991440241586453
50,0.5,28.991440241586453
51,0.51,28.991440241586453
52,0.52,28.991440241586453
53,0.53,28.991440241586453
54,0.54,28.991440241586453
55,0.55,28.991440241586453
56,0.56,28.991440241586453
57,0.5700000000000001,28.991440241586453
58,0.58,28.991440241586453
59,0.59,28.991440241586453
60,0.6,28.991440241586453
61,0.61,28.991440241586453
62,0.62,28.991440241586453
63,0.63,28.991440241586453
64,0.64,28.991440241586453
65,0.65,28.991440241586453
66,0.66,28.991440241586453
67,0.67,28.991440241586453
68,0.68,28.991440241586453
69,0.6900000000000001,28.991440241586453
70,0.7000000000000001,28.991440241586453
71,0.71,28.991440241586453
72,0.72,28.991440241586453
73,0.73,28.991440241586453
74,0.74,28.991440241586453
75,0.75,28.991440241586453
76,0.76,28.991440241586453
77,0.77,28.991440241586453
78,0.78,28.991440241586453
79,0.79,28.991440241586453
80,0.8,28.991440241586453
81,0.81,28.991440241586453
82,0.8200000000000001,28.991440241586453
83,0.8300000000000001,28.991440241586453
84,0.84,28.991440241586453
85,0.85,28.991440241586453
86,0.86,28.991440241586453
87,0.87,28.991440241586453
88,0.88,28.991440241586453
89,0.89,28.991440241586453
90,0.9,28.991440241586453
91,0.91,28.991440241586453
92,0.92,28.991440241586453
93,0.93,28.991440241586453
94,0.9400000000000001,28.991440241586453
95,0.9500000000000001,28.991440241586453
96,0.96,28.991440241586453
97,0.97,28.991440241586453
98,0.98,28.991440241586453
99,0.99,28.991440241586453
100,1.0,28.991440241586453
