,cdf,Number of Prompt Tokens
0,0.0,2048.784647953762
1,0.01,2048.784647953762
2,0.02,2048.784647953762
3,0.03,2048.784647953762
4,0.04,2048.784647953762
5,0.05,2048.784647953762
6,0.06,2048.784647953762
7,0.07,2048.784647953762
8,0.08,2048.784647953762
9,0.09,2048.784647953762
10,0.1,2048.784647953762
11,0.11,2048.784647953762
12,0.12,2048.784647953762
13,0.13,2048.784647953762
14,0.14,2048.784647953762
15,0.15,2048.784647953762
16,0.16,2048.784647953762
17,0.17,2048.784647953762
18,0.18,2048.784647953762
19,0.19,2048.784647953762
20,0.2,2048.784647953762
21,0.21,2048.784647953762
22,0.22,2048.784647953762
23,0.23,2048.784647953762
24,0.24,2048.784647953762
25,0.25,2048.784647953762
26,0.26,2048.784647953762
27,0.27,2048.784647953762
28,0.28,2048.784647953762
29,0.29,2048.784647953762
30,0.3,2048.784647953762
31,0.31,2048.784647953762
32,0.32,2048.784647953762
33,0.33,2048.784647953762
34,0.34,2048.784647953762
35,0.35000000000000003,2048.784647953762
36,0.36,2048.784647953762
37,0.37,2048.784647953762
38,0.38,2048.784647953762
39,0.39,2048.784647953762
40,0.4,2048.784647953762
41,0.41000000000000003,2048.784647953762
42,0.42,2048.784647953762
43,0.43,2048.784647953762
44,0.44,2048.784647953762
45,0.45,2048.784647953762
46,0.46,2048.784647953762
47,0.47000000000000003,2048.784647953762
48,0.48,2048.784647953762
49,0.49,2048.784647953762
50,0.5,2048.784647953762
51,0.51,2048.784647953762
52,0.52,2048.784647953762
53,0.53,2048.784647953762
54,0.54,2048.784647953762
55,0.55,2048.784647953762
56,0.56,2048.784647953762
57,0.5700000000000001,2048.784647953762
58,0.58,2048.784647953762
59,0.59,2048.784647953762
60,0.6,2048.784647953762
61,0.61,2048.784647953762
62,0.62,2048.784647953762
63,0.63,2048.784647953762
64,0.64,2048.784647953762
65,0.65,2048.784647953762
66,0.66,2048.784647953762
67,0.67,2048.784647953762
68,0.68,2048.784647953762
69,0.6900000000000001,2048.784647953762
70,0.7000000000000001,2048.784647953762
71,0.71,2048.784647953762
72,0.72,2048.784647953762
73,0.73,2048.784647953762
74,0.74,2048.784647953762
75,0.75,2048.784647953762
76,0.76,2048.784647953762
77,0.77,2048.784647953762
78,0.78,2048.784647953762
79,0.79,2048.784647953762
80,0.8,2048.784647953762
81,0.81,2048.784647953762
82,0.8200000000000001,2048.784647953762
83,0.8300000000000001,2048.784647953762
84,0.84,2048.784647953762
85,0.85,2048.784647953762
86,0.86,2048.784647953762
87,0.87,2048.784647953762
88,0.88,2048.784647953762
89,0.89,2048.784647953762
90,0.9,2048.784647953762
91,0.91,2048.784647953762
92,0.92,2048.784647953762
93,0.93,2048.784647953762
94,0.9400000000000001,2048.784647953762
95,0.9500000000000001,2048.784647953762
96,0.96,2048.784647953762
97,0.97,2048.784647953762
98,0.98,2048.784647953762
99,0.99,2048.784647953762
100,1.0,2048.784647953762
