Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
4086.00000,4084.69472,4084.69472,4084.69472
133.00000,133.08674,133.08674,133.08674
4219.00000,4217.51884,4217.51884,4217.51884
0.02031,0.01958,0.02470,0.02470
1.52355,1.35121,2.34668,2.34668
0.02031,0.01480,0.04509,0.04856
4.20486,4.15786,4.45043,4.45043
0.03162,0.03127,0.03347,0.03347
31.72310,31.28068,33.68325,33.68325
0.17215,0.16447,0.25436,0.25436
0.10488,0.08937,0.16057,0.16057
