Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2048.00000,2048.78465,2048.78465,2048.78465
2.00000,1.99971,1.99971,1.99971
2050.00000,2048.78465,2048.78465,2048.78465
0.00000,0.00000,0.00000,0.00000
0.17399,0.17291,0.17360,0.17360
0.00000,0.00000,0.00000,0.00000
0.17399,0.17291,0.17360,0.17360
0.08699,0.08655,0.08690,0.08690
11.50705,11.55364,11.81063,11.81063
0.66667,0.66698,0.66698,0.66698
10000000000.00000,9991566009.24997,9991566009.24997,9991566009.24997
