,cdf,Number of Total Tokens
0,0.0,8192.730401697612
1,0.01,8192.730401697612
2,0.02,8192.730401697612
3,0.03,8192.730401697612
4,0.04,8192.730401697612
5,0.05,8192.730401697612
6,0.06,8192.730401697612
7,0.07,8192.730401697612
8,0.08,8192.730401697612
9,0.09,8192.730401697612
10,0.1,8192.730401697612
11,0.11,8192.730401697612
12,0.12,8192.730401697612
13,0.13,8192.730401697612
14,0.14,8192.730401697612
15,0.15,8192.730401697612
16,0.16,8192.730401697612
17,0.17,8192.730401697612
18,0.18,8192.730401697612
19,0.19,8192.730401697612
20,0.2,8192.730401697612
21,0.21,8192.730401697612
22,0.22,8192.730401697612
23,0.23,8192.730401697612
24,0.24,8192.730401697612
25,0.25,8192.730401697612
26,0.26,8192.730401697612
27,0.27,8192.730401697612
28,0.28,8192.730401697612
29,0.29,8192.730401697612
30,0.3,8192.730401697612
31,0.31,8192.730401697612
32,0.32,8192.730401697612
33,0.33,8192.730401697612
34,0.34,8192.730401697612
35,0.35000000000000003,8192.730401697612
36,0.36,8192.730401697612
37,0.37,8192.730401697612
38,0.38,8192.730401697612
39,0.39,8192.730401697612
40,0.4,8192.730401697612
41,0.41000000000000003,8192.730401697612
42,0.42,8192.730401697612
43,0.43,8192.730401697612
44,0.44,8192.730401697612
45,0.45,8192.730401697612
46,0.46,8192.730401697612
47,0.47000000000000003,8192.730401697612
48,0.48,8192.730401697612
49,0.49,8192.730401697612
50,0.5,8192.730401697612
51,0.51,8192.730401697612
52,0.52,8192.730401697612
53,0.53,8192.730401697612
54,0.54,8192.730401697612
55,0.55,8192.730401697612
56,0.56,8192.730401697612
57,0.5700000000000001,8192.730401697612
58,0.58,8192.730401697612
59,0.59,8192.730401697612
60,0.6,8192.730401697612
61,0.61,8192.730401697612
62,0.62,8192.730401697612
63,0.63,8192.730401697612
64,0.64,8192.730401697612
65,0.65,8192.730401697612
66,0.66,8192.730401697612
67,0.67,8192.730401697612
68,0.68,8192.730401697612
69,0.6900000000000001,8192.730401697612
70,0.7000000000000001,8192.730401697612
71,0.71,8192.730401697612
72,0.72,8192.730401697612
73,0.73,8192.730401697612
74,0.74,8192.730401697612
75,0.75,8192.730401697612
76,0.76,8192.730401697612
77,0.77,8192.730401697612
78,0.78,8192.730401697612
79,0.79,8192.730401697612
80,0.8,8192.730401697612
81,0.81,8192.730401697612
82,0.8200000000000001,8192.730401697612
83,0.8300000000000001,8192.730401697612
84,0.84,8192.730401697612
85,0.85,8192.730401697612
86,0.86,8192.730401697612
87,0.87,8192.730401697612
88,0.88,8192.730401697612
89,0.89,8192.730401697612
90,0.9,8192.730401697612
91,0.91,8192.730401697612
92,0.92,8192.730401697612
93,0.93,8192.730401697612
94,0.9400000000000001,8192.730401697612
95,0.9500000000000001,8192.730401697612
96,0.96,8192.730401697612
97,0.97,8192.730401697612
98,0.98,8192.730401697612
99,0.99,8192.730401697612
100,1.0,8192.730401697612
