SECONDS,prefix_cache_block_misses
1746756082.6179576,448.0
1746756082.6556182,896.0
1746756082.6930988,1344.0
1746756082.7309334,1792.0
1746756082.769087,2240.0
1746756082.807711,2688.0
1746756082.8469641,3136.0
1746756082.8863847,3584.0
1746756082.926227,4032.0
1746756082.9663153,4480.0
1746756083.00671,4928.0
1746756083.047412,5376.0
1746756083.0884724,5824.0
1746756083.1298623,6272.0
1746756083.1652942,6720.0
1746756083.181068,7168.0
1746756083.1962078,7616.0
1746756083.2113647,8064.0
1746756083.226475,8512.0
1746756083.241809,8960.0
1746756083.2569683,9408.0
1746756083.2721334,9856.0
1746756083.2875302,10304.0
1746756083.3030128,10752.0
1746756083.3184924,11200.0
1746756083.3340275,11648.0
1746756083.3495204,12096.0
1746756083.3649473,12544.0
1746756083.3803668,12992.0
1746756083.395727,13440.0
1746756083.4110804,13888.0
1746756083.4264653,14336.0
1746756083.4419696,14784.0
1746756083.4575934,15232.0
1746756083.4729342,15680.0
1746756083.488637,16128.0
1746756083.50425,16576.0
1746756083.5197415,17024.0
1746756083.5352442,17472.0
1746756083.5508454,17920.0
1746756083.5663102,18368.0
1746756083.5818217,18816.0
1746756083.5973084,19264.0
1746756083.6127353,19712.0
1746756083.6281173,20160.0
1746756083.6435637,20608.0
1746756083.6590123,21056.0
1746756083.6744425,21504.0
1746756083.6899693,21952.0
1746756083.7056158,22400.0
1746756083.721246,22848.0
1746756083.7371392,23296.0
1746756083.752755,23744.0
1746756083.7684016,24192.0
1746756083.7839334,24640.0
1746756083.7996292,25088.0
1746756083.8151453,25536.0
1746756083.830729,25984.0
1746756083.846373,26432.0
1746756083.8623438,26880.0
1746756083.8780496,27328.0
1746756083.8937624,27776.0
1746756083.9094853,28224.0
1746756083.925239,28672.0
1746756083.9409263,29120.0
1746756083.9566896,29568.0
1746756083.9723454,30016.0
1746756083.9883418,30464.0
1746756084.0040858,30912.0
1746756084.0197124,31360.0
1746756084.0351357,31808.0
1746756084.050559,32256.0
1746756084.0660405,32704.0
1746756084.0815334,33152.0
1746756084.0970132,33600.0
1746756084.1124566,34048.0
1746756084.127885,34496.0
1746756084.172658,34976.0
1746756084.1896825,35456.0
1746756084.2056108,35936.0
1746756084.2214897,36416.0
1746756084.2372274,36896.0
1746756084.2554243,37376.0
1746756084.2715256,37856.0
1746756084.2873702,38336.0
1746756084.3034034,38816.0
1746756084.319368,39296.0
1746756084.3356013,39776.0
1746756084.3516045,40256.0
1746756084.3674784,40736.0
1746756084.3833606,41216.0
1746756084.3992543,41696.0
1746756084.4150977,42176.0
1746756084.4309115,42656.0
1746756084.446666,43136.0
1746756084.4623916,43616.0
1746756084.4783468,44096.0
1746756084.494447,44576.0
1746756084.5105317,45056.0
1746756084.5266542,45536.0
1746756084.5427086,46016.0
1746756084.558735,46496.0
1746756084.574622,46976.0
1746756084.590562,47456.0
1746756084.606304,47936.0
1746756084.6220536,48416.0
1746756084.6378264,48896.0
1746756084.6535106,49376.0
1746756084.6692529,49856.0
1746756084.6850536,50336.0
1746756084.7009044,50816.0
1746756084.7169116,51296.0
1746756084.7330055,51776.0
1746756084.7491853,52256.0
1746756084.7666183,52736.0
1746756084.7831037,53216.0
1746756084.7991133,53696.0
1746756084.8150942,54176.0
1746756084.8312097,54656.0
1746756084.8474205,55136.0
1746756084.8633556,55616.0
1746756084.8791795,56096.0
1746756084.8950849,56576.0
1746756084.9109244,57056.0
1746756084.9267988,57536.0
1746756084.9426067,58016.0
1746756084.958567,58496.0
1746756084.9747763,58976.0
1746756084.9907804,59456.0
1746756085.0065758,59936.0
1746756085.0224087,60416.0
1746756085.0383997,60896.0
1746756085.054143,61376.0
1746756085.069913,61856.0
1746756085.085724,62336.0
1746756085.1016197,62816.0
1746756085.117441,63296.0
1746756085.133245,63776.0
1746756085.1785872,64320.0
1746756085.2188315,64864.0
1746756085.236861,65408.0
1746756085.257041,65952.0
1746756085.2732368,66496.0
1746756085.2894514,67040.0
1746756085.3056521,67584.0
1746756085.3220286,68128.0
1746756085.3383012,68672.0
1746756085.3546267,69216.0
1746756085.3708138,69760.0
1746756085.3871,70304.0
1746756085.4033391,70848.0
1746756085.4197676,71392.0
1746756085.436057,71936.0
1746756085.4523444,72480.0
1746756085.4686892,73024.0
1746756085.4849238,73568.0
1746756085.5012035,74112.0
1746756085.5175095,74656.0
1746756085.5337222,75200.0
1746756085.5499794,75744.0
1746756085.566175,76288.0
1746756085.582529,76832.0
1746756085.5987859,77376.0
1746756085.6150815,77920.0
1746756085.6312244,78464.0
1746756085.6475058,79008.0
1746756085.6637895,79552.0
1746756085.6796792,80096.0
1746756085.695388,80640.0
1746756085.711111,81184.0
1746756085.7269797,81728.0
1746756085.742777,82272.0
1746756085.758655,82816.0
1746756085.774503,83360.0
1746756085.790415,83904.0
1746756085.806366,84448.0
1746756085.8222396,84992.0
1746756085.8381877,85536.0
1746756085.8540125,86080.0
1746756085.8701866,86624.0
1746756085.8860135,87168.0
1746756085.9019122,87712.0
1746756085.9179287,88256.0
1746756085.9340253,88800.0
1746756085.9498854,89344.0
1746756085.9657805,89888.0
1746756085.981626,90432.0
1746756085.99752,90976.0
1746756086.0134077,91520.0
1746756086.0292695,92064.0
1746756086.0452256,92608.0
1746756086.0611057,93152.0
1746756086.0769305,93696.0
1746756086.092895,94240.0
1746756086.108842,94784.0
1746756086.1250226,95328.0
1746756086.1410723,95872.0
1746756086.1572895,96416.0
1746756086.173508,96960.0
1746756086.1897848,97504.0
1746756086.2058356,98048.0
1746756086.222028,98592.0
1746756086.238157,99136.0
1746756086.2542317,99680.0
1746756086.2703223,100224.0
1746756086.2862763,100768.0
1746756086.3024373,101312.0
1746756086.3185146,101856.0
1746756086.3346481,102400.0
1746756086.3507853,102944.0
1746756086.3668685,103488.0
1746756086.3832316,104032.0
1746756086.3993592,104576.0
1746756086.4155138,105120.0
1746756086.4317222,105664.0
1746756086.4479833,106208.0
1746756086.4642024,106752.0
1746756086.4803965,107296.0
1746756086.4965599,107840.0
1746756086.5127294,108384.0
1746756086.5289438,108928.0
1746756086.5451546,109472.0
1746756086.561308,110016.0
1746756086.5774395,110560.0
1746756086.593533,111104.0
1746756086.6095972,111648.0
1746756086.625728,112192.0
1746756086.6420815,112736.0
1746756086.6582627,113280.0
1746756086.6743832,113824.0
1746756086.6905706,114368.0
1746756086.7067764,114912.0
1746756086.722873,115456.0
1746756086.738979,116000.0
1746756086.755163,116544.0
1746756086.7712562,117088.0
1746756086.7873557,117632.0
1746756086.8034887,118176.0
1746756086.819662,118720.0
1746756086.8357167,119264.0
1746756086.8520007,119808.0
1746756086.8681226,120352.0
1746756086.8842256,120896.0
1746756086.900669,121440.0
1746756086.9169006,121984.0
1746756086.933063,122528.0
1746756086.949277,123072.0
1746756086.9655745,123616.0
1746756086.981728,124160.0
1746756086.9978468,124704.0
1746756087.0140946,125248.0
1746756087.0301406,125792.0
1746756087.0461576,126336.0
1746756087.062831,126880.0
1746756087.0790977,127424.0
1746756087.095233,127968.0
1746756087.1114173,128512.0
1746756087.127552,129056.0
1746756087.1436517,129600.0
1746756087.160202,130144.0
1746756087.1764967,130688.0
1746756087.19277,131232.0
1746756087.2090433,131776.0
1746756087.225462,132320.0
1746756087.2417672,132864.0
1746756087.2578433,133408.0
1746756087.2739177,133952.0
1746756087.2900293,134496.0
1746756087.3062792,135040.0
1746756087.3224566,135584.0
1746756087.3386996,136128.0
1746756087.3548226,136672.0
1746756087.3709402,137216.0
1746756087.3871205,137760.0
1746756087.4033043,138304.0
1746756087.4196217,138848.0
1746756087.4357734,139392.0
1746756087.4519558,139936.0
1746756087.468295,140480.0
1746756087.4846406,141024.0
1746756087.5008554,141568.0
1746756087.5171497,142112.0
1746756087.533439,142656.0
1746756087.5498023,143200.0
1746756087.5660563,143744.0
1746756087.5820901,144288.0
1746756087.5981627,144832.0
1746756087.6142087,145376.0
1746756087.6304762,145920.0
1746756087.64666,146464.0
1746756087.6628613,147008.0
1746756087.6793032,147552.0
1746756087.695403,148096.0
1746756087.7115824,148640.0
1746756087.7278345,149184.0
1746756087.744166,149728.0
1746756087.7603855,150272.0
1746756087.7765503,150816.0
1746756087.7926993,151360.0
1746756087.8088906,151904.0
1746756087.8267415,152448.0
1746756087.843441,152992.0
1746756087.859596,153536.0
1746756087.8756316,154080.0
1746756087.8917089,154624.0
1746756087.9079332,155168.0
1746756087.924144,155712.0
