SECONDS,prefix_cache_block_hits
1746691983.4023032,0.0
1746691983.440595,0.0
1746691983.478462,0.0
1746691983.516633,0.0
1746691983.55541,0.0
1746691983.5943742,0.0
1746691983.6337383,0.0
1746691983.673464,0.0
1746691983.7135081,0.0
1746691983.7538698,0.0
1746691983.7945063,0.0
1746691983.8353953,0.0
1746691983.8767872,0.0
1746691983.9183056,0.0
1746691983.937093,0.0
1746691983.9526365,0.0
1746691983.967793,0.0
1746691983.983035,0.0
1746691983.9983199,0.0
1746691984.0138552,0.0
1746691984.0291786,0.0
1746691984.044513,0.0
1746691984.059821,0.0
1746691984.0751653,0.0
1746691984.090408,0.0
1746691984.1058476,0.0
1746691984.1211703,0.0
1746691984.1365538,0.0
1746691984.1518798,0.0
1746691984.1671708,0.0
1746691984.182501,0.0
1746691984.1977682,0.0
1746691984.21304,0.0
1746691984.2284472,0.0
1746691984.2437663,0.0
1746691984.2593374,0.0
1746691984.274677,0.0
1746691984.2900882,0.0
1746691984.3053966,0.0
1746691984.3208308,0.0
1746691984.3361797,0.0
1746691984.3515828,0.0
1746691984.3668873,0.0
1746691984.3822277,0.0
1746691984.3984966,0.0
1746691984.4139216,0.0
1746691984.4293098,0.0
1746691984.4447217,0.0
1746691984.4601872,0.0
1746691984.4755821,0.0
1746691984.4909465,0.0
1746691984.5064154,0.0
1746691984.521862,0.0
1746691984.5372581,0.0
1746691984.5530133,0.0
1746691984.5684404,0.0
1746691984.583792,0.0
1746691984.599161,0.0
1746691984.614498,0.0
1746691984.6298997,0.0
1746691984.6453073,0.0
1746691984.660763,0.0
1746691984.676218,0.0
1746691984.691508,0.0
1746691984.7068353,0.0
1746691984.7221706,0.0
1746691984.7374706,0.0
1746691984.7530367,0.0
1746691984.7684596,0.0
1746691984.783851,0.0
1746691984.7991827,0.0
1746691984.8144279,0.0
1746691984.8297217,0.0
1746691984.8449311,0.0
1746691984.8602352,0.0
1746691984.8755164,0.0
1746691984.890721,0.0
1746691984.9060059,0.0
1746691984.9508543,32.0
1746691985.0028183,96.0
1746691985.0425038,160.0
1746691985.0826507,224.0
1746691985.1230106,288.0
1746691985.1638713,352.0
1746691985.205099,416.0
1746691985.2465186,480.0
1746691985.28823,544.0
1746691985.3302968,608.0
1746691985.3726804,672.0
1746691985.4155152,736.0
1746691985.4585063,800.0
1746691985.4776428,864.0
1746691985.4940648,928.0
1746691985.5102687,992.0
1746691985.5265856,1056.0
1746691985.5427787,1120.0
1746691985.5591805,1184.0
1746691985.5754428,1248.0
1746691985.591692,1312.0
1746691985.6081424,1376.0
1746691985.6245635,1440.0
1746691985.6408749,1504.0
1746691985.657158,1568.0
1746691985.6733775,1632.0
1746691985.6896887,1696.0
1746691985.705965,1760.0
1746691985.7221222,1824.0
1746691985.7383761,1888.0
1746691985.7546706,1952.0
1746691985.7709873,2016.0
1746691985.7881048,2080.0
1746691985.8037753,2144.0
1746691985.8193555,2208.0
1746691985.8349183,2272.0
1746691985.8505595,2336.0
1746691985.866226,2400.0
1746691985.8819761,2464.0
1746691985.8975747,2528.0
1746691985.9132004,2592.0
1746691985.928808,2656.0
1746691985.9446354,2720.0
1746691985.9601998,2784.0
1746691985.975695,2848.0
1746691985.9913397,2912.0
1746691986.0069172,2976.0
1746691986.0225308,3040.0
1746691986.038208,3104.0
1746691986.053833,3168.0
1746691986.0693986,3232.0
1746691986.0849454,3296.0
1746691986.1006181,3360.0
1746691986.1163888,3424.0
1746691986.1322064,3488.0
1746691986.1478736,3552.0
1746691986.1635344,3616.0
1746691986.1792054,3680.0
1746691986.1948647,3744.0
1746691986.21052,3808.0
1746691986.226283,3872.0
1746691986.2419603,3936.0
1746691986.2575967,4000.0
1746691986.2732577,4064.0
1746691986.2889562,4128.0
1746691986.3046896,4192.0
1746691986.320365,4256.0
1746691986.3360713,4320.0
1746691986.3517654,4384.0
1746691986.367563,4448.0
1746691986.3833177,4512.0
1746691986.3989427,4576.0
1746691986.4145677,4640.0
1746691986.4302018,4704.0
1746691986.445818,4768.0
1746691986.4614282,4832.0
1746691986.4771209,4896.0
1746691986.4927495,4960.0
1746691986.5084774,5024.0
1746691986.524205,5088.0
1746691986.539933,5152.0
1746691986.5555983,5216.0
1746691986.5711997,5280.0
1746691986.5869522,5344.0
