BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1801467,512.0,512.0,0.0,1.0,0.03800511360168457,0.00011134147644042969
1801468,512.0,512.0,0.0,1.0,0.0377657413482666,4.649162292480469e-05
1801469,512.0,512.0,0.0,1.0,0.038271427154541016,7.677078247070312e-05
1801470,512.0,512.0,0.0,1.0,0.03879594802856445,5.221366882324219e-05
1801471,512.0,512.0,0.0,1.0,0.03889584541320801,4.9114227294921875e-05
1801472,512.0,512.0,0.0,1.0,0.03916168212890625,8.082389831542969e-05
1801473,512.0,512.0,0.0,1.0,0.0397791862487793,8.058547973632812e-05
1801474,512.0,512.0,0.0,1.0,0.04009509086608887,8.225440979003906e-05
1801475,512.0,512.0,0.0,1.0,0.040303945541381836,7.796287536621094e-05
1801476,512.0,512.0,0.0,1.0,0.04056143760681152,8.535385131835938e-05
1801477,512.0,512.0,0.0,1.0,0.040936946868896484,7.653236389160156e-05
1801478,512.0,512.0,0.0,1.0,0.04132819175720215,8.487701416015625e-05
1801479,512.0,512.0,0.0,1.0,0.04156136512756348,8.082389831542969e-05
1801480,524.0,524.0,0.0,2.0,0.05391240119934082,8.106231689453125e-05
1801481,512.0,511.0,1.0,2.0,0.03947639465332031,9.059906005859375e-05
1801482,512.0,511.0,1.0,2.0,0.04017043113708496,7.581710815429688e-05
1801483,512.0,511.0,1.0,2.0,0.0402066707611084,8.249282836914062e-05
1801484,512.0,511.0,1.0,2.0,0.04060864448547363,8.463859558105469e-05
1801485,512.0,511.0,1.0,2.0,0.040964603424072266,7.319450378417969e-05
1801486,512.0,511.0,1.0,2.0,0.04098939895629883,8.416175842285156e-05
1801487,512.0,511.0,1.0,2.0,0.04129290580749512,7.343292236328125e-05
1801488,512.0,511.0,1.0,2.0,0.04183173179626465,7.724761962890625e-05
1801489,512.0,511.0,1.0,2.0,0.04206418991088867,7.390975952148438e-05
1801490,512.0,511.0,1.0,2.0,0.042385101318359375,7.939338684082031e-05
1801491,512.0,511.0,1.0,2.0,0.04282116889953613,9.799003601074219e-05
1801492,24.0,23.0,1.0,2.0,0.025071144104003906,7.939338684082031e-05
1801493,2.0,0.0,2.0,2.0,0.01622319221496582,5.936622619628906e-05
1801494,2.0,0.0,2.0,2.0,0.01612234115600586,5.984306335449219e-05
1801495,2.0,0.0,2.0,2.0,0.01604628562927246,5.817413330078125e-05
1801496,2.0,0.0,2.0,2.0,0.015936851501464844,5.888938903808594e-05
1801497,2.0,0.0,2.0,2.0,0.016061782836914062,5.698204040527344e-05
1801498,2.0,0.0,2.0,2.0,0.01585555076599121,6.103515625e-05
1801499,2.0,0.0,2.0,2.0,0.01587963104248047,5.602836608886719e-05
1801500,2.0,0.0,2.0,2.0,0.016043901443481445,5.8650970458984375e-05
1801501,2.0,0.0,2.0,2.0,0.0162351131439209,6.031990051269531e-05
1801502,2.0,0.0,2.0,2.0,0.016184568405151367,6.270408630371094e-05
1801503,2.0,0.0,2.0,2.0,0.016121387481689453,5.602836608886719e-05
1801504,2.0,0.0,2.0,2.0,0.01604914665222168,5.7697296142578125e-05
1801505,2.0,0.0,2.0,2.0,0.015912294387817383,6.031990051269531e-05
1801506,2.0,0.0,2.0,2.0,0.015910625457763672,6.0558319091796875e-05
1801507,2.0,0.0,2.0,2.0,0.015918254852294922,6.031990051269531e-05
1801508,2.0,0.0,2.0,2.0,0.015944242477416992,5.793571472167969e-05
1801509,2.0,0.0,2.0,2.0,0.016132593154907227,5.7697296142578125e-05
1801510,2.0,0.0,2.0,2.0,0.030479907989501953,8.440017700195312e-05
1801511,2.0,0.0,2.0,2.0,0.05145621299743652,3.719329833984375e-05
1801512,1.0,0.0,1.0,1.0,0.01896190643310547,4.1484832763671875e-05
1801513,1.0,0.0,1.0,1.0,0.014797210693359375,2.9325485229492188e-05
1801514,1.0,0.0,1.0,1.0,0.014558076858520508,2.6941299438476562e-05
1801515,1.0,0.0,1.0,1.0,0.014616966247558594,2.5510787963867188e-05
1801516,1.0,0.0,1.0,1.0,0.014676809310913086,2.7418136596679688e-05
1801517,1.0,0.0,1.0,1.0,0.01494741439819336,2.5272369384765625e-05
1801518,1.0,0.0,1.0,1.0,0.01466059684753418,3.147125244140625e-05
1801519,1.0,0.0,1.0,1.0,0.014693260192871094,2.7418136596679688e-05
1801520,1.0,0.0,1.0,1.0,0.014635801315307617,2.6702880859375e-05
1801521,1.0,0.0,1.0,1.0,0.014669179916381836,2.4318695068359375e-05
1801522,1.0,0.0,1.0,1.0,0.014636516571044922,2.8371810913085938e-05
1801523,1.0,0.0,1.0,1.0,0.014603614807128906,2.574920654296875e-05
1801524,1.0,0.0,1.0,1.0,0.014623641967773438,2.6226043701171875e-05
1801525,1.0,0.0,1.0,1.0,0.014730215072631836,2.7418136596679688e-05
1801526,1.0,0.0,1.0,1.0,0.014569997787475586,2.5987625122070312e-05
1801527,1.0,0.0,1.0,1.0,0.01462411880493164,2.4557113647460938e-05
1801528,1.0,0.0,1.0,1.0,0.014715194702148438,2.8133392333984375e-05
1801529,1.0,0.0,1.0,1.0,0.014569520950317383,2.5510787963867188e-05
1801530,1.0,0.0,1.0,1.0,0.014528989791870117,2.5033950805664062e-05
1801531,1.0,0.0,1.0,1.0,0.014560461044311523,2.5987625122070312e-05
1801532,1.0,0.0,1.0,1.0,0.014578104019165039,2.3603439331054688e-05
1801533,1.0,0.0,1.0,1.0,0.014583349227905273,2.5510787963867188e-05
1801534,1.0,0.0,1.0,1.0,0.01452016830444336,2.765655517578125e-05
1801535,1.0,0.0,1.0,1.0,0.01455068588256836,2.6702880859375e-05
1801536,1.0,0.0,1.0,1.0,0.014608383178710938,2.5510787963867188e-05
1801537,1.0,0.0,1.0,1.0,0.014673709869384766,2.9325485229492188e-05
1801538,1.0,0.0,1.0,1.0,0.01472163200378418,2.288818359375e-05
1801539,1.0,0.0,1.0,1.0,0.014643669128417969,2.6941299438476562e-05
1801540,1.0,0.0,1.0,1.0,0.014729976654052734,2.7179718017578125e-05
1801541,1.0,0.0,1.0,1.0,0.014765501022338867,2.6464462280273438e-05
1801542,1.0,0.0,1.0,1.0,0.014681577682495117,2.765655517578125e-05
1801543,1.0,0.0,1.0,1.0,0.014656543731689453,2.5033950805664062e-05
1801544,1.0,0.0,1.0,1.0,0.014621496200561523,2.4557113647460938e-05
1801545,1.0,0.0,1.0,1.0,0.014621734619140625,2.8133392333984375e-05
1801546,1.0,0.0,1.0,1.0,0.014598846435546875,2.5987625122070312e-05
1801547,1.0,0.0,1.0,1.0,0.014507532119750977,2.574920654296875e-05
1801548,513.0,512.0,1.0,2.0,0.04266810417175293,2.5987625122070312e-05
1801549,13.0,12.0,1.0,2.0,0.01613593101501465,4.363059997558594e-05
1801550,2.0,0.0,2.0,2.0,0.014774084091186523,2.9087066650390625e-05
1801551,2.0,0.0,2.0,2.0,0.014636993408203125,2.574920654296875e-05
1801552,2.0,0.0,2.0,2.0,0.014619112014770508,2.7894973754882812e-05
1801553,2.0,0.0,2.0,2.0,0.014603853225708008,2.4080276489257812e-05
1801554,2.0,0.0,2.0,2.0,0.015373706817626953,2.6941299438476562e-05
1801555,2.0,0.0,2.0,2.0,0.015323877334594727,5.054473876953125e-05
1801556,2.0,0.0,2.0,2.0,0.014792203903198242,3.4809112548828125e-05
1801557,2.0,0.0,2.0,2.0,0.014827728271484375,3.790855407714844e-05
1801558,2.0,0.0,2.0,2.0,0.014898300170898438,3.719329833984375e-05
1801559,2.0,0.0,2.0,2.0,0.014921188354492188,3.0040740966796875e-05
1801560,2.0,0.0,2.0,2.0,0.014854669570922852,3.4809112548828125e-05
1801561,2.0,0.0,2.0,2.0,0.014905214309692383,3.266334533691406e-05
1801562,2.0,0.0,2.0,2.0,0.01495218276977539,3.314018249511719e-05
1801563,2.0,0.0,2.0,2.0,0.014912128448486328,3.981590270996094e-05
1801564,2.0,0.0,2.0,2.0,0.014911174774169922,3.1948089599609375e-05
1801565,2.0,0.0,2.0,2.0,0.015104055404663086,3.24249267578125e-05
1801566,2.0,0.0,2.0,2.0,0.01485586166381836,3.504753112792969e-05
1801567,2.0,0.0,2.0,2.0,0.014927148818969727,3.457069396972656e-05
1801568,2.0,0.0,2.0,2.0,0.01491546630859375,3.361701965332031e-05
1801569,2.0,0.0,2.0,2.0,0.014864444732666016,3.504753112792969e-05
1801570,2.0,0.0,2.0,2.0,0.015015125274658203,3.0994415283203125e-05
1801571,2.0,0.0,2.0,2.0,0.015033483505249023,3.361701965332031e-05
1801572,2.0,0.0,2.0,2.0,0.014958620071411133,4.982948303222656e-05
1801573,2.0,0.0,2.0,2.0,0.01502847671508789,3.170967102050781e-05
1801574,2.0,0.0,2.0,2.0,0.014973163604736328,3.504753112792969e-05
1801575,2.0,0.0,2.0,2.0,0.015097856521606445,3.4809112548828125e-05
1801576,2.0,0.0,2.0,2.0,0.015033483505249023,3.218650817871094e-05
1801577,2.0,0.0,2.0,2.0,0.015145540237426758,3.2901763916015625e-05
1801578,2.0,0.0,2.0,2.0,0.01544952392578125,3.2901763916015625e-05
1801579,2.0,0.0,2.0,2.0,0.015030145645141602,4.1961669921875e-05
1801580,2.0,0.0,2.0,2.0,0.015023946762084961,3.266334533691406e-05
1801581,2.0,0.0,2.0,2.0,0.015035629272460938,3.075599670410156e-05
1801582,2.0,0.0,2.0,2.0,0.01495981216430664,3.147125244140625e-05
1801583,2.0,0.0,2.0,2.0,0.015024900436401367,3.24249267578125e-05
1801584,2.0,0.0,2.0,2.0,0.015183448791503906,3.361701965332031e-05
1801585,2.0,0.0,2.0,2.0,0.015606880187988281,3.457069396972656e-05
1801586,2.0,0.0,2.0,2.0,0.015219688415527344,3.4332275390625e-05
1801587,2.0,0.0,2.0,2.0,0.014798879623413086,3.218650817871094e-05
1801588,2.0,0.0,2.0,2.0,0.014784574508666992,3.1948089599609375e-05
1801589,2.0,0.0,2.0,2.0,0.014767646789550781,3.24249267578125e-05
1801590,2.0,0.0,2.0,2.0,0.014888286590576172,3.147125244140625e-05
1801591,2.0,0.0,2.0,2.0,0.014948368072509766,3.337860107421875e-05
1801592,2.0,0.0,2.0,2.0,0.01494598388671875,3.0279159545898438e-05
1801593,2.0,0.0,2.0,2.0,0.015018463134765625,3.218650817871094e-05
