SECONDS,prefix_cache_block_hits_cpu
1746680916.6134827,0.0
1746680916.6515992,0.0
1746680916.6894114,0.0
1746680916.7277596,0.0
1746680916.7666078,0.0
1746680916.8055527,0.0
1746680916.8447952,0.0
1746680916.884655,0.0
1746680916.9248323,0.0
1746680916.9652143,0.0
1746680917.005861,0.0
1746680917.0468745,0.0
1746680917.0882876,0.0
1746680917.1299298,0.0
1746680917.1839232,32.0
1746680917.2234902,64.0
1746680917.2637365,96.0
1746680917.3040257,128.0
1746680917.344719,160.0
1746680917.3857567,192.0
1746680917.4268303,224.0
1746680917.4681966,256.0
1746680917.5101056,288.0
1746680917.5522437,320.0
1746680917.5947082,352.0
1746680917.6376274,384.0
1746680917.662778,416.0
1746680917.6790605,448.0
1746680917.6952426,480.0
1746680917.711347,512.0
1746680917.7273428,544.0
1746680917.7434616,576.0
1746680917.7593782,608.0
1746680917.7753139,640.0
1746680917.7914164,672.0
1746680917.8077118,704.0
1746680917.823959,736.0
1746680917.8401365,768.0
1746680917.8562434,800.0
1746680917.872216,832.0
1746680917.8881872,864.0
1746680917.9041657,896.0
1746680917.920168,928.0
1746680917.9363582,960.0
1746680917.9669225,992.0
1746680918.018416,1024.0
1746680918.0374193,1056.0
1746680918.0522459,1088.0
1746680918.0668309,1120.0
1746680918.0814734,1152.0
1746680918.0961776,1184.0
1746680918.1111503,1216.0
1746680918.1258423,1248.0
1746680918.140563,1280.0
1746680918.1552255,1312.0
1746680918.169919,1344.0
1746680918.184584,1376.0
1746680918.1992133,1408.0
1746680918.2138631,1440.0
1746680918.2286208,1472.0
1746680918.2432168,1504.0
1746680918.2578654,1536.0
1746680918.2726088,1568.0
1746680918.2872038,1600.0
1746680918.3017578,1632.0
1746680918.3163443,1664.0
1746680918.330946,1696.0
1746680918.3455548,1728.0
1746680918.3601027,1760.0
1746680918.37468,1792.0
1746680918.389314,1824.0
1746680918.404017,1856.0
1746680918.4187615,1888.0
1746680918.433432,1920.0
1746680918.4481893,1952.0
1746680918.4629812,1984.0
1746680918.4776905,2016.0
1746680918.492372,2048.0
1746680918.507018,2080.0
1746680918.521668,2112.0
1746680918.5362928,2144.0
1746680918.550826,2176.0
1746680918.5935202,2240.0
1746680918.6096997,2304.0
1746680918.624503,2368.0
1746680918.6391656,2432.0
1746680918.6538126,2496.0
1746680918.6684406,2560.0
1746680918.6838412,2624.0
1746680918.6992157,2688.0
1746680918.7140427,2752.0
1746680918.7289083,2816.0
1746680918.7438438,2880.0
1746680918.758795,2944.0
1746680918.7736845,3008.0
1746680918.7886224,3072.0
1746680918.8036077,3136.0
1746680918.8185596,3200.0
1746680918.8335028,3264.0
1746680918.8486392,3328.0
1746680918.8635302,3392.0
1746680918.8784919,3456.0
1746680918.893441,3520.0
1746680918.9083405,3584.0
1746680918.9233866,3648.0
1746680918.9384537,3712.0
1746680918.9534621,3776.0
1746680918.9685223,3840.0
1746680918.9835305,3904.0
1746680918.9986632,3968.0
1746680919.0137289,4032.0
1746680919.0289073,4096.0
1746680919.0443897,4160.0
1746680919.0594618,4224.0
1746680919.0745184,4288.0
1746680919.0895848,4352.0
1746680919.104576,4416.0
1746680919.1196334,4480.0
1746680919.1348505,4544.0
1746680919.150492,4608.0
1746680919.165746,4672.0
1746680919.180577,4736.0
1746680919.1953936,4800.0
1746680919.2101936,4864.0
1746680919.2251134,4928.0
1746680919.2400951,4992.0
1746680919.2550714,5056.0
1746680919.270122,5120.0
1746680919.2853985,5184.0
1746680919.3007264,5248.0
1746680919.3160686,5312.0
1746680919.3315449,5376.0
1746680919.346885,5440.0
1746680919.362211,5504.0
1746680919.3776248,5568.0
1746680919.3929052,5632.0
1746680919.4093306,5696.0
1746680919.424923,5760.0
1746680919.4402578,5824.0
1746680919.455636,5888.0
1746680919.4709704,5952.0
1746680919.4862914,6016.0
1746680919.5017118,6080.0
1746680919.5170937,6144.0
1746680919.5326838,6208.0
1746680919.54821,6272.0
1746680919.5636845,6336.0
1746680919.6084833,6432.0
1746680919.6482892,6528.0
1746680919.6651456,6624.0
1746680919.681004,6720.0
1746680919.6967578,6816.0
1746680919.712622,6912.0
1746680919.728322,7008.0
1746680919.744491,7104.0
1746680919.760313,7200.0
1746680919.7760255,7296.0
1746680919.7917619,7392.0
1746680919.8075006,7488.0
1746680919.8232706,7584.0
1746680919.8390062,7680.0
1746680919.8548362,7776.0
1746680919.8706257,7872.0
1746680919.886572,7968.0
1746680919.9023783,8064.0
1746680919.9181862,8160.0
1746680919.9339688,8256.0
1746680919.9500377,8352.0
1746680919.9659297,8448.0
1746680919.9816916,8544.0
1746680919.9974868,8640.0
1746680920.013261,8736.0
1746680920.0290174,8832.0
1746680920.0450335,8928.0
1746680920.0611553,9024.0
1746680920.0768435,9120.0
1746680920.0923514,9216.0
1746680920.1078918,9312.0
1746680920.1235387,9408.0
1746680920.1392827,9504.0
1746680920.154734,9600.0
1746680920.1702628,9696.0
1746680920.1857953,9792.0
1746680920.20143,9888.0
1746680920.21731,9984.0
1746680920.2332788,10080.0
1746680920.2487125,10176.0
1746680920.2642345,10272.0
1746680920.2797165,10368.0
1746680920.2953763,10464.0
1746680920.3108888,10560.0
1746680920.326335,10656.0
1746680920.3417158,10752.0
1746680920.3572242,10848.0
1746680920.3728004,10944.0
1746680920.3885689,11040.0
1746680920.404092,11136.0
1746680920.4195852,11232.0
1746680920.4350708,11328.0
1746680920.450679,11424.0
1746680920.4664025,11520.0
1746680920.482026,11616.0
1746680920.49743,11712.0
1746680920.5127196,11808.0
1746680920.5279925,11904.0
1746680920.5434446,12000.0
1746680920.5589843,12096.0
1746680920.5744944,12192.0
1746680920.5898604,12288.0
1746680920.6052334,12384.0
1746680920.6205893,12480.0
1746680920.6362226,12576.0
1746680920.6515841,12672.0
1746680920.6670167,12768.0
1746680920.682359,12864.0
1746680920.6976955,12960.0
1746680920.7131312,13056.0
1746680920.7285342,13152.0
1746680920.7439475,13248.0
1746680920.7593749,13344.0
1746680920.7746363,13440.0
1746680920.7897186,13536.0
1746680920.8048306,13632.0
1746680920.8202066,13728.0
1746680920.8358865,13824.0
1746680920.8514197,13920.0
1746680920.8667421,14016.0
1746680920.8820946,14112.0
1746680920.8972583,14208.0
1746680920.9124544,14304.0
1746680920.9275732,14400.0
1746680920.9428034,14496.0
1746680920.958024,14592.0
1746680920.9731836,14688.0
1746680920.9884083,14784.0
1746680921.0268703,14880.0
1746680921.042201,14976.0
1746680921.0579019,15072.0
1746680921.0729697,15168.0
1746680921.0881014,15264.0
1746680921.1030679,15360.0
1746680921.1181245,15456.0
1746680921.133152,15552.0
1746680921.148317,15648.0
1746680921.1632147,15744.0
1746680921.17846,15840.0
1746680921.1937494,15936.0
1746680921.2089882,16032.0
1746680921.224141,16128.0
1746680921.2392156,16224.0
1746680921.2542434,16320.0
1746680921.2693033,16416.0
1746680921.284281,16512.0
1746680921.2994092,16608.0
1746680921.314624,16704.0
1746680921.3296945,16800.0
1746680921.3447661,16896.0
1746680921.3598304,16992.0
1746680921.3947213,17088.0
1746680921.4100904,17184.0
1746680921.425079,17280.0
1746680921.440153,17376.0
1746680921.4552183,17472.0
1746680921.470465,17568.0
1746680921.4857354,17664.0
1746680921.500956,17760.0
1746680921.516323,17856.0
1746680921.5316133,17952.0
1746680921.5468369,18048.0
1746680921.5620313,18144.0
1746680921.5771017,18240.0
1746680921.5921972,18336.0
1746680921.6073482,18432.0
1746680921.6512876,18560.0
1746680921.6904671,18688.0
1746680921.7505302,18848.0
1746680921.7901177,19008.0
1746680921.829802,19168.0
1746680921.8702939,19328.0
1746680921.9110594,19488.0
1746680921.9522812,19648.0
1746680921.9936564,19808.0
1746680922.0352228,19968.0
1746680922.0773325,20128.0
1746680922.1197984,20288.0
1746680922.162407,20448.0
1746680922.2052422,20608.0
1746680922.2483838,20768.0
1746680922.2920218,20928.0
1746680922.3360164,21088.0
1746680922.3800433,21248.0
1746680922.424448,21408.0
1746680922.4691088,21568.0
1746680922.5142643,21728.0
1746680922.560372,21888.0
1746680922.6061392,22048.0
1746680922.652354,22208.0
1746680922.6987321,22368.0
1746680922.7455084,22528.0
1746680922.7926462,22688.0
1746680922.8401415,22848.0
1746680922.887976,23008.0
1746680922.9358828,23168.0
1746680922.9841728,23328.0
1746680923.0328376,23488.0
1746680923.0817723,23648.0
1746680923.1310017,23808.0
1746680923.2536726,23968.0
1746680923.3652892,24128.0
1746680923.4153118,24288.0
1746680923.465702,24448.0
1746680923.5164912,24608.0
1746680923.5677488,24768.0
1746680923.6193333,24928.0
1746680923.6711533,25088.0
1746680923.7231588,25248.0
1746680923.7752492,25408.0
1746680923.8281708,25568.0
1746680923.8811936,25728.0
1746680923.9344711,25888.0
1746680924.185024,26080.0
1746680924.2281384,26272.0
1746680924.2480278,26464.0
1746680924.2659314,26656.0
1746680924.2835746,26848.0
1746680924.3012614,27040.0
1746680924.3189347,27232.0
1746680924.3366327,27424.0
1746680924.3543136,27616.0
1746680924.3719623,27808.0
1746680924.3895252,28000.0
1746680924.407388,28192.0
1746680924.4251935,28384.0
1746680924.442888,28576.0
1746680924.4605367,28768.0
1746680924.4783614,28960.0
1746680924.4961383,29152.0
1746680924.5139425,29344.0
1746680924.531774,29536.0
1746680924.5497608,29728.0
1746680924.5675616,29920.0
1746680924.585541,30112.0
1746680924.6033146,30304.0
1746680924.6211274,30496.0
1746680924.638969,30688.0
1746680924.656776,30880.0
1746680924.6745942,31072.0
1746680924.692421,31264.0
1746680924.7101986,31456.0
1746680924.7279088,31648.0
1746680924.7457254,31840.0
1746680924.7634296,32032.0
1746680924.7812064,32224.0
1746680924.799009,32416.0
1746680924.8168044,32608.0
1746680924.834683,32800.0
1746680924.8527706,32992.0
1746680924.870716,33184.0
1746680924.8885171,33376.0
1746680924.9064379,33568.0
1746680924.924323,33760.0
1746680924.9421399,33952.0
1746680924.9598994,34144.0
1746680924.977741,34336.0
1746680924.9955175,34528.0
1746680925.0133183,34720.0
1746680925.1186872,34944.0
1746680925.1613169,35168.0
1746680925.2040093,35392.0
1746680925.2470562,35616.0
1746680925.290497,35840.0
1746680925.3347511,36064.0
1746680925.3787904,36288.0
1746680925.4232447,36512.0
1746680925.4680452,36736.0
1746680925.5132246,36960.0
1746680925.5588348,37184.0
1746680925.604394,37408.0
1746680925.6505008,37632.0
1746680925.6968431,37856.0
1746680925.743497,38080.0
1746680925.7905672,38304.0
1746680925.8377118,38528.0
1746680925.884974,38752.0
1746680925.9326952,38976.0
1746680925.9806707,39200.0
1746680926.0288603,39424.0
1746680926.0774693,39648.0
1746680926.1263585,39872.0
1746680926.1759152,40096.0
1746680926.3150055,40320.0
1746680926.3665085,40544.0
1746680926.4167967,40768.0
1746680926.4672515,40992.0
1746680926.5180182,41216.0
1746680926.569116,41440.0
1746680926.6205933,41664.0
1746680926.6725218,41888.0
1746680926.724621,42112.0
1746680926.7771275,42336.0
1746680926.829807,42560.0
1746680926.8829916,42784.0
1746680926.9365118,43008.0
1746680926.9905064,43232.0
1746680927.0446885,43456.0
1746680927.0992055,43680.0
1746680927.1540058,43904.0
1746680927.2092853,44128.0
1746680927.2648609,44352.0
1746680927.3206422,44576.0
1746680927.3768911,44800.0
1746680927.433066,45024.0
1746680927.490065,45248.0
1746680927.547192,45472.0
1746680927.604826,45696.0
1746680927.6624515,45920.0
1746680927.72007,46144.0
1746680927.7783391,46368.0
1746680927.836746,46592.0
1746680927.8953378,46816.0
1746680927.9547124,47040.0
1746680928.0368538,47264.0
1746680928.0945325,47488.0
1746680928.1526275,47712.0
1746680928.2109277,47936.0
1746680928.2689695,48160.0
1746680928.327287,48384.0
1746680928.3864925,48608.0
1746680928.4458797,48832.0
1746680928.5056176,49056.0
1746680928.5655556,49280.0
1746680928.625855,49504.0
1746680928.6865003,49728.0
1746680928.747446,49952.0
1746680928.8087854,50176.0
1746680928.870381,50400.0
1746680928.9324436,50624.0
1746680928.9949052,50848.0
1746680929.0573473,51072.0
1746680929.1201096,51296.0
1746680929.1831095,51520.0
1746680929.2466779,51744.0
1746680929.310597,51968.0
1746680929.3750496,52192.0
1746680929.4397209,52416.0
1746680929.50469,52640.0
1746680929.5699635,52864.0
1746680929.6352322,53088.0
1746680929.7009892,53312.0
1746680929.7671297,53536.0
1746680929.833543,53760.0
1746680929.900714,53984.0
1746680929.96753,54208.0
1746680930.03463,54432.0
1746680930.1024673,54656.0
1746680930.1703112,54880.0
1746680930.2385416,55104.0
1746680930.3069472,55328.0
1746680930.3756394,55552.0
1746680930.4444683,55776.0
1746680930.5139182,56000.0
1746680930.5834987,56224.0
1746680930.6534667,56448.0
1746680930.7303846,56672.0
1746680930.8089325,56896.0
1746680930.8822224,57120.0
1746680930.9582894,57344.0
1746680931.0344868,57568.0
1746680931.1143665,57792.0
1746680931.1943398,58016.0
1746680931.2711413,58240.0
1746680931.347937,58464.0
1746680931.423761,58688.0
1746680931.5042217,58912.0
1746680931.5810466,59136.0
1746680931.66113,59360.0
1746680931.7458901,59584.0
1746680931.8269076,59808.0
1746680931.90717,60032.0
1746680931.9906044,60256.0
1746680932.0706396,60480.0
1746680932.1616468,60704.0
1746680932.2396936,60928.0
1746680932.3255713,61152.0
1746680932.409576,61376.0
1746680932.4905207,61600.0
1746680932.576117,61824.0
1746680932.662776,62048.0
1746680932.751589,62272.0
1746680932.8345253,62496.0
1746680932.9189029,62720.0
1746680933.00281,62944.0
1746680933.0871012,63168.0
1746680933.1825886,63392.0
1746680933.2661812,63616.0
1746680933.3557665,63840.0
1746680933.4384425,64064.0
1746680933.5264971,64288.0
1746680933.6226265,64512.0
1746680933.7126708,64736.0
1746680933.8026962,64960.0
1746680933.8897676,65184.0
1746680933.9773586,65408.0
1746680934.0620146,65632.0
1746680934.1468441,65856.0
1746680934.246023,66080.0
1746680934.3347516,66304.0
1746680934.4267993,66528.0
1746680934.5161521,66752.0
1746680934.6083467,66976.0
1746680934.7019987,67200.0
1746680934.792773,67424.0
1746680934.8854024,67648.0
1746680934.9800215,67872.0
1746680935.067079,68096.0
1746680935.158495,68320.0
1746680935.2615871,68544.0
1746680935.3501778,68768.0
1746680935.4505897,68992.0
1746680935.5503879,69216.0
1746680935.6584659,69440.0
1746680935.7558777,69664.0
1746680935.8465683,69888.0
1746680935.946474,70112.0
1746680936.0436633,70336.0
1746680936.1463675,70560.0
1746680936.2450814,70784.0
1746680936.3387587,71008.0
1746680936.437342,71232.0
1746680936.53026,71456.0
1746680936.6298995,71680.0
1746680936.7267492,71904.0
1746680936.826243,72128.0
1746680936.9122212,72384.0
1746680936.9621537,72640.0
1746680937.0113046,72896.0
1746680937.0661888,73152.0
1746680937.120009,73408.0
1746680937.1781344,73664.0
1746680937.2341938,73920.0
1746680937.2929406,74176.0
1746680937.346132,74432.0
1746680937.4020615,74688.0
1746680937.4612536,74944.0
1746680937.522194,75200.0
1746680937.5821579,75456.0
1746680937.6421545,75712.0
1746680937.6986735,75968.0
1746680937.7580981,76224.0
1746680937.8156164,76480.0
1746680937.8741927,76736.0
1746680937.9372785,76992.0
1746680937.991734,77248.0
1746680938.050326,77504.0
1746680938.1068418,77760.0
1746680938.169362,78016.0
1746680938.2292697,78272.0
1746680938.301363,78528.0
1746680938.3662896,78784.0
1746680938.426177,79040.0
1746680938.4903657,79296.0
1746680938.55838,79552.0
1746680938.6193388,79808.0
1746680938.6925607,80064.0
1746680938.7499447,80320.0
1746680938.8034093,80576.0
1746680938.8619843,80832.0
1746680938.92203,81088.0
1746680938.9765356,81344.0
1746680939.048842,81632.0
1746680939.0903983,81920.0
1746680939.1381645,82208.0
1746680939.1861408,82496.0
1746680939.2341197,82784.0
1746680939.2892203,83072.0
1746680939.3453326,83360.0
1746680939.389907,83648.0
1746680939.4453077,83936.0
1746680939.4941857,84224.0
1746680939.5462594,84512.0
1746680939.6053855,84800.0
1746680939.654116,85088.0
1746680939.703961,85376.0
1746680939.7581584,85664.0
1746680939.8084445,85952.0
1746680939.8702826,86240.0
1746680939.925357,86528.0
1746680939.981407,86816.0
1746680940.0301692,87104.0
1746680940.085468,87392.0
1746680940.1382716,87680.0
1746680940.190685,87968.0
1746680940.2462003,88256.0
1746680940.3022835,88544.0
1746680940.3555646,88832.0
1746680940.4078348,89120.0
1746680940.4662597,89408.0
1746680940.5283718,89728.0
1746680940.5782292,90048.0
1746680940.6336515,90368.0
1746680940.6783843,90688.0
1746680940.7302873,91008.0
1746680940.7822187,91328.0
1746680940.8413296,91648.0
1746680940.8942688,91968.0
1746680940.9441245,92288.0
1746680940.9942315,92608.0
1746680941.0446894,92928.0
1746680941.0982144,93248.0
1746680941.1543078,93600.0
1746680941.206643,93984.0
1746680941.262417,94368.0
1746680941.338922,94784.0
1746680941.3904397,95200.0
1746680941.4454176,95616.0
1746680941.4914465,96032.0
1746680941.5423882,96448.0
1746680941.5983133,96864.0
1746680941.6498456,97280.0
1746680941.7017436,97696.0
1746680941.7636714,98112.0
1746680941.8208785,98528.0
1746680941.8781576,98944.0
1746680941.9341853,99360.0
1746680941.9902387,99776.0
1746680942.046211,100192.0
1746680942.1021466,100608.0
1746680942.1581848,101024.0
1746680942.2222133,101440.0
1746680942.2862632,101856.0
1746680942.3422844,102272.0
1746680942.4093785,102688.0
1746680942.4669325,103104.0
1746680942.5214076,103520.0
1746680942.5728612,103936.0
1746680942.6342628,104352.0
1746680942.6903186,104768.0
1746680942.7463436,105184.0
1746680942.806842,105600.0
1746680942.8623722,106016.0
1746680942.9252985,106432.0
1746680942.9823427,106848.0
1746680943.0453637,107264.0
1746680943.0999324,107680.0
1746680943.1623952,108096.0
1746680943.2204618,108512.0
1746680943.280788,108928.0
1746680943.3410158,109344.0
1746680943.417427,109760.0
1746680943.4742916,110176.0
1746680943.5342786,110592.0
1746680943.5943344,111008.0
1746680943.658429,111424.0
1746680943.7148602,111840.0
1746680943.7852652,112256.0
1746680943.8502848,112672.0
1746680944.4826832,113120.0
1746680944.5534205,113600.0
1746680944.6063008,114080.0
1746680944.6623998,114560.0
1746680944.7183988,115040.0
1746680944.786953,115552.0
1746680944.8423982,116064.0
1746680944.897519,116576.0
1746680944.9544418,117088.0
1746680945.017604,117600.0
1746680945.0703936,118112.0
1746680945.126447,118624.0
1746680945.1824262,119136.0
1746680945.2384944,119648.0
1746680945.2944956,120160.0
