BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1950253,512.0,512.0,0.0,1.0,0.03841090202331543,0.00010395050048828125
1950254,72.0,72.0,0.0,6.0,0.02913522720336914,6.413459777832031e-05
1950255,6.0,0.0,6.0,6.0,0.015420675277709961,7.62939453125e-05
1950256,6.0,0.0,6.0,6.0,0.014677286148071289,2.9325485229492188e-05
1950257,6.0,0.0,6.0,6.0,0.014951705932617188,2.86102294921875e-05
1950258,6.0,0.0,6.0,6.0,0.01509714126586914,5.53131103515625e-05
1950259,6.0,0.0,6.0,6.0,0.015296697616577148,5.555152893066406e-05
1950260,6.0,0.0,6.0,6.0,0.014993429183959961,6.580352783203125e-05
1950261,6.0,0.0,6.0,6.0,0.01506805419921875,5.7220458984375e-05
1950262,6.0,0.0,6.0,6.0,0.037888526916503906,5.4836273193359375e-05
1950263,6.0,0.0,6.0,6.0,0.015266180038452148,7.176399230957031e-05
1950264,6.0,0.0,6.0,6.0,0.015115499496459961,5.745887756347656e-05
1950265,6.0,0.0,6.0,6.0,0.015421628952026367,5.698204040527344e-05
1950266,6.0,0.0,6.0,6.0,0.015444517135620117,5.602836608886719e-05
1950267,6.0,0.0,6.0,6.0,0.015619516372680664,0.00018739700317382812
1950268,6.0,0.0,6.0,6.0,0.015280723571777344,4.38690185546875e-05
1950269,6.0,0.0,6.0,6.0,0.015538692474365234,6.103515625e-05
1950270,6.0,0.0,6.0,6.0,0.015515565872192383,5.793571472167969e-05
1950271,6.0,0.0,6.0,6.0,0.015572547912597656,5.9604644775390625e-05
1950272,6.0,0.0,6.0,6.0,0.01558995246887207,5.6743621826171875e-05
1950273,6.0,0.0,6.0,6.0,0.015555620193481445,5.9604644775390625e-05
1950274,6.0,0.0,6.0,6.0,0.01559758186340332,5.91278076171875e-05
1950275,6.0,0.0,6.0,6.0,0.01583242416381836,5.936622619628906e-05
1950276,6.0,0.0,6.0,6.0,0.015256643295288086,7.462501525878906e-05
