SECONDS,prefix_cache_block_hits_cpu
1746689103.5228546,0.0
1746689103.5613694,0.0
1746689103.5905688,320.0
1746689103.6060658,640.0
1746689103.6207724,960.0
1746689103.6357527,1280.0
1746689103.6509051,1600.0
1746689103.6662574,1920.0
1746689103.6813166,2240.0
1746689103.696442,2560.0
1746689103.7343853,2880.0
1746689103.7497232,3200.0
1746689103.7648962,3520.0
1746689103.7803748,3840.0
1746689103.7958753,4160.0
1746689103.8116822,4480.0
1746689103.8270068,4800.0
1746689103.8426065,5120.0
1746689103.85818,5440.0
1746689103.8738122,5760.0
1746689103.889459,6080.0
1746689103.9050741,6400.0
1746689103.9207308,6720.0
1746689103.9366226,7040.0
1746689103.951954,7360.0
1746689103.9669847,7680.0
1746689103.9819098,8000.0
1746689103.9968486,8320.0
1746689104.011807,8640.0
1746689104.0267355,8960.0
1746689104.0417845,9280.0
1746689104.0714388,9664.0
1746689104.1214325,10080.0
1746689104.171732,10656.0
1746689104.196292,11424.0
1746689104.2151706,12192.0
1746689104.2350502,12960.0
1746689104.2705991,13728.0
1746689104.2944758,14496.0
1746689104.3225448,15264.0
1746689104.3429801,16032.0
1746689104.378675,16800.0
1746689104.4012759,17568.0
1746689104.4231808,18336.0
1746689104.4431098,19104.0
1746689104.4664598,19872.0
1746689104.4906657,20640.0
1746689104.5112596,21408.0
1746689104.5344048,22176.0
1746689104.5513651,22944.0
1746689104.5711207,23712.0
1746689104.5910442,24480.0
1746689104.6151366,25248.0
1746689104.6351123,26016.0
1746689104.654246,26784.0
1746689104.6824498,27552.0
1746689104.702871,28320.0
1746689104.7194698,29088.0
1746689104.738757,29856.0
1746689104.7588165,30624.0
1746689104.7783043,31392.0
1746689104.7989936,32160.0
1746689104.818967,32928.0
1746689104.8382807,33696.0
1746689104.8664641,34464.0
1746689104.891517,35232.0
1746689104.9143593,36000.0
1746689104.9355285,36768.0
1746689104.9583373,37536.0
1746689104.9801595,38304.0
1746689105.0003562,39072.0
1746689105.0204954,39840.0
1746689105.0395024,40608.0
1746689105.0593572,41376.0
1746689105.079376,42144.0
1746689105.110476,43104.0
1746689105.1343243,44192.0
1746689105.157072,45408.0
1746689105.215171,46656.0
1746689105.2394655,47968.0
1746689105.2604735,49280.0
1746689105.2844746,50592.0
1746689105.3188992,51904.0
1746689105.3428178,53216.0
1746689105.3698359,54528.0
1746689105.3950071,55840.0
1746689105.4253807,57152.0
1746689105.4472845,58464.0
1746689105.4713156,59776.0
1746689105.499389,61088.0
1746689105.5169232,62400.0
1746689105.5344388,63712.0
1746689105.551834,65024.0
1746689105.5692046,66336.0
1746689105.5865476,67648.0
1746689105.6041973,68960.0
1746689105.6218183,70272.0
1746689105.6391554,71584.0
1746689105.656534,72896.0
1746689105.6737802,74208.0
1746689105.6912432,75520.0
1746689105.7085092,76832.0
1746689105.7259395,78144.0
1746689105.7435453,79456.0
1746689105.7608855,80768.0
1746689105.7779188,82080.0
1746689105.7951143,83392.0
1746689105.812261,84704.0
1746689105.8292904,86016.0
1746689105.846366,87328.0
1746689105.8634536,88640.0
1746689105.8805425,89952.0
1746689105.8978145,91264.0
1746689105.915109,92576.0
1746689105.9323401,93888.0
1746689105.9494193,95200.0
1746689105.9667335,96512.0
1746689105.983797,97824.0
1746689106.001056,99136.0
1746689106.018403,100448.0
1746689106.035472,101760.0
1746689106.0525255,103072.0
1746689106.0695298,104384.0
1746689106.086549,105696.0
1746689106.1073256,107072.0
1746689106.1302106,108576.0
1746689106.1512787,110144.0
1746689106.1699257,111712.0
1746689106.1888442,113280.0
1746689106.2077723,114848.0
1746689106.2254326,116416.0
1746689106.242885,117984.0
1746689106.2605069,119552.0
1746689106.2778616,121120.0
1746689106.2967317,122688.0
1746689106.3144193,124256.0
1746689106.3318727,125824.0
1746689106.3493013,127392.0
1746689106.3668423,128960.0
1746689106.3841784,130528.0
1746689106.4011424,132096.0
1746689106.4184282,133664.0
1746689106.4354331,135232.0
1746689106.4524677,136800.0
1746689106.4696822,138368.0
1746689106.4869654,139936.0
1746689106.5040302,141504.0
1746689106.5210552,143072.0
1746689106.537741,144640.0
1746689106.5543845,146208.0
1746689106.5711443,147776.0
1746689106.5878584,149344.0
1746689106.604556,150912.0
1746689106.6212091,152480.0
1746689106.6378672,154048.0
1746689106.654628,155616.0
1746689106.6718788,157184.0
1746689106.6885872,158752.0
1746689106.7051566,160320.0
1746689106.722248,161888.0
1746689106.7390234,163456.0
1746689106.7558098,165024.0
1746689106.7726114,166592.0
1746689106.7981105,168160.0
1746689106.8146896,169728.0
1746689106.8311388,171296.0
1746689106.8479218,172864.0
1746689106.86444,174432.0
1746689106.8807294,176000.0
1746689106.8970423,177568.0
1746689106.9134407,179136.0
1746689106.929326,180704.0
1746689106.9453614,182272.0
1746689106.9611244,183840.0
