SECONDS,prefix_cache_block_hits_gpu
1746689103.5228546,0.0
1746689103.5613694,0.0
1746689103.5905688,0.0
1746689103.6060658,0.0
1746689103.6207724,0.0
1746689103.6357527,0.0
1746689103.6509051,0.0
1746689103.6662574,0.0
1746689103.6813166,0.0
1746689103.696442,0.0
1746689103.7343853,0.0
1746689103.7497232,0.0
1746689103.7648962,0.0
1746689103.7803748,0.0
1746689103.7958753,0.0
1746689103.8116822,0.0
1746689103.8270068,0.0
1746689103.8426065,0.0
1746689103.85818,0.0
1746689103.8738122,0.0
1746689103.889459,0.0
1746689103.9050741,0.0
1746689103.9207308,0.0
1746689103.9366226,0.0
1746689103.951954,0.0
1746689103.9669847,0.0
1746689103.9819098,0.0
1746689103.9968486,0.0
1746689104.011807,0.0
1746689104.0267355,0.0
1746689104.0417845,0.0
1746689104.0714388,0.0
1746689104.1214325,0.0
1746689104.171732,0.0
1746689104.196292,0.0
1746689104.2151706,0.0
1746689104.2350502,0.0
1746689104.2705991,0.0
1746689104.2944758,0.0
1746689104.3225448,0.0
1746689104.3429801,0.0
1746689104.378675,0.0
1746689104.4012759,0.0
1746689104.4231808,0.0
1746689104.4431098,0.0
1746689104.4664598,0.0
1746689104.4906657,0.0
1746689104.5112596,0.0
1746689104.5344048,0.0
1746689104.5513651,0.0
1746689104.5711207,0.0
1746689104.5910442,0.0
1746689104.6151366,0.0
1746689104.6351123,0.0
1746689104.654246,0.0
1746689104.6824498,0.0
1746689104.702871,0.0
1746689104.7194698,0.0
1746689104.738757,0.0
1746689104.7588165,0.0
1746689104.7783043,0.0
1746689104.7989936,0.0
1746689104.818967,0.0
1746689104.8382807,0.0
1746689104.8664641,0.0
1746689104.891517,0.0
1746689104.9143593,0.0
1746689104.9355285,0.0
1746689104.9583373,0.0
1746689104.9801595,0.0
1746689105.0003562,0.0
1746689105.0204954,0.0
1746689105.0395024,0.0
1746689105.0593572,0.0
1746689105.079376,0.0
1746689105.110476,0.0
1746689105.1343243,0.0
1746689105.157072,0.0
1746689105.215171,0.0
1746689105.2394655,0.0
1746689105.2604735,0.0
1746689105.2844746,0.0
1746689105.3188992,0.0
1746689105.3428178,0.0
1746689105.3698359,0.0
1746689105.3950071,0.0
1746689105.4253807,0.0
1746689105.4472845,0.0
1746689105.4713156,0.0
1746689105.499389,0.0
1746689105.5169232,0.0
1746689105.5344388,0.0
1746689105.551834,0.0
1746689105.5692046,0.0
1746689105.5865476,0.0
1746689105.6041973,0.0
1746689105.6218183,0.0
1746689105.6391554,0.0
1746689105.656534,0.0
1746689105.6737802,0.0
1746689105.6912432,0.0
1746689105.7085092,0.0
1746689105.7259395,0.0
1746689105.7435453,0.0
1746689105.7608855,0.0
1746689105.7779188,0.0
1746689105.7951143,0.0
1746689105.812261,0.0
1746689105.8292904,0.0
1746689105.846366,0.0
1746689105.8634536,0.0
1746689105.8805425,0.0
1746689105.8978145,0.0
1746689105.915109,0.0
1746689105.9323401,0.0
1746689105.9494193,0.0
1746689105.9667335,0.0
1746689105.983797,0.0
1746689106.001056,0.0
1746689106.018403,0.0
1746689106.035472,0.0
1746689106.0525255,0.0
1746689106.0695298,0.0
1746689106.086549,0.0
1746689106.1073256,0.0
1746689106.1302106,0.0
1746689106.1512787,0.0
1746689106.1699257,0.0
1746689106.1888442,0.0
1746689106.2077723,0.0
1746689106.2254326,0.0
1746689106.242885,0.0
1746689106.2605069,0.0
1746689106.2778616,0.0
1746689106.2967317,0.0
1746689106.3144193,0.0
1746689106.3318727,0.0
1746689106.3493013,0.0
1746689106.3668423,0.0
1746689106.3841784,0.0
1746689106.4011424,0.0
1746689106.4184282,0.0
1746689106.4354331,0.0
1746689106.4524677,0.0
1746689106.4696822,0.0
1746689106.4869654,0.0
1746689106.5040302,0.0
1746689106.5210552,0.0
1746689106.537741,0.0
1746689106.5543845,0.0
1746689106.5711443,0.0
1746689106.5878584,0.0
1746689106.604556,0.0
1746689106.6212091,0.0
1746689106.6378672,0.0
1746689106.654628,0.0
1746689106.6718788,0.0
1746689106.6885872,0.0
1746689106.7051566,0.0
1746689106.722248,0.0
1746689106.7390234,0.0
1746689106.7558098,0.0
1746689106.7726114,0.0
1746689106.7981105,0.0
1746689106.8146896,0.0
1746689106.8311388,0.0
1746689106.8479218,0.0
1746689106.86444,0.0
1746689106.8807294,0.0
1746689106.8970423,0.0
1746689106.9134407,0.0
1746689106.929326,0.0
1746689106.9453614,0.0
1746689106.9611244,0.0
1746689106.976835,0.0
1746689106.9925575,0.0
1746689107.0084703,0.0
1746689107.0243914,0.0
1746689107.040009,0.0
1746689107.0555124,0.0
1746689107.0708528,0.0
1746689107.0861793,0.0
1746689107.1015916,0.0
1746689107.1368544,0.0
1746689107.1895864,0.0
1746689107.2356424,0.0
1746689107.2784162,0.0
