SECONDS,prefix_cache_block_misses
1746689103.5228546,64.0
1746689103.5613694,128.0
1746689103.5905688,192.0
1746689103.6060658,256.0
1746689103.6207724,320.0
1746689103.6357527,384.0
1746689103.6509051,448.0
1746689103.6662574,512.0
1746689103.6813166,576.0
1746689103.696442,640.0
1746689103.7343853,704.0
1746689103.7497232,768.0
1746689103.7648962,832.0
1746689103.7803748,896.0
1746689103.7958753,960.0
1746689103.8116822,1024.0
1746689103.8270068,1088.0
1746689103.8426065,1152.0
1746689103.85818,1216.0
1746689103.8738122,1280.0
1746689103.889459,1344.0
1746689103.9050741,1408.0
1746689103.9207308,1472.0
1746689103.9366226,1536.0
1746689103.951954,1600.0
1746689103.9669847,1664.0
1746689103.9819098,1728.0
1746689103.9968486,1792.0
1746689104.011807,1856.0
1746689104.0267355,1920.0
1746689104.0417845,1984.0
1746689104.0714388,2048.0
1746689104.1214325,2144.0
1746689104.171732,2272.0
1746689104.196292,2400.0
1746689104.2151706,2528.0
1746689104.2350502,2656.0
1746689104.2705991,2784.0
1746689104.2944758,2912.0
1746689104.3225448,3040.0
1746689104.3429801,3168.0
1746689104.378675,3296.0
1746689104.4012759,3424.0
1746689104.4231808,3552.0
1746689104.4431098,3680.0
1746689104.4664598,3808.0
1746689104.4906657,3936.0
1746689104.5112596,4064.0
1746689104.5344048,4192.0
1746689104.5513651,4320.0
1746689104.5711207,4448.0
1746689104.5910442,4576.0
1746689104.6151366,4704.0
1746689104.6351123,4832.0
1746689104.654246,4960.0
1746689104.6824498,5088.0
1746689104.702871,5216.0
1746689104.7194698,5344.0
1746689104.738757,5472.0
1746689104.7588165,5600.0
1746689104.7783043,5728.0
1746689104.7989936,5856.0
1746689104.818967,5984.0
1746689104.8382807,6112.0
1746689104.8664641,6240.0
1746689104.891517,6368.0
1746689104.9143593,6496.0
1746689104.9355285,6624.0
1746689104.9583373,6752.0
1746689104.9801595,6880.0
1746689105.0003562,7008.0
1746689105.0204954,7136.0
1746689105.0395024,7264.0
1746689105.0593572,7392.0
1746689105.079376,7520.0
1746689105.110476,7648.0
1746689105.1343243,7776.0
1746689105.157072,7904.0
1746689105.215171,8064.0
1746689105.2394655,8224.0
1746689105.2604735,8384.0
1746689105.2844746,8544.0
