SECONDS,prefill_completed
-25.00240969657898,1036.0
-25.00240969657898,2072.0
-25.00240969657898,3108.0
-25.00240969657898,4144.0
-25.00240969657898,5180.0
-25.00240969657898,6216.0
-24.697927236557007,7252.0
-24.697927236557007,8288.0
-24.63322162628174,11396.0
-24.63322162628174,10360.0
-24.63322162628174,9324.0
-24.577847719192505,12432.0
-24.54547357559204,14504.0
-24.54547357559204,13468.0
-23.69748282432556,15540.0
-23.66925835609436,17612.0
-23.66925835609436,16576.0
-23.636987447738647,19684.0
-23.636987447738647,18648.0
-23.572490215301514,20720.0
-23.53813600540161,23828.0
-23.53813600540161,22792.0
-23.53813600540161,21756.0
-22.66929340362549,24864.0
-22.642239809036255,26936.0
-22.642239809036255,25900.0
-22.289551734924316,29508.0
-22.289551734924316,31580.0
-22.289551734924316,30544.0
-21.600826025009155,34152.0
-21.53801679611206,35188.0
-21.413568019866943,39308.0
-21.413568019866943,41880.0
-21.413568019866943,45488.0
-21.413568019866943,48060.0
-21.413568019866943,49096.0
-21.413568019866943,44452.0
-21.413568019866943,36736.0
-20.539329528808594,50132.0
-20.424464225769043,52204.0
-20.424464225769043,51168.0
-20.365975618362427,53240.0
-20.30475378036499,54276.0
-20.241689920425415,57884.0
-20.241689920425415,56848.0
-20.180470943450928,58920.0
-20.113461017608643,74888.0
-20.113461017608643,61492.0
-20.113461017608643,76960.0
-20.113461017608643,64064.0
-20.113461017608643,72816.0
-20.113461017608643,70244.0
-20.113461017608643,80568.0
-20.113461017608643,75924.0
-20.113461017608643,83140.0
-20.113461017608643,66636.0
-20.113461017608643,73852.0
-20.113461017608643,79532.0
-20.113461017608643,69208.0
-19.47603487968445,85212.0
-19.47603487968445,86248.0
-19.47603487968445,87284.0
-19.47603487968445,84176.0
-19.41587471961975,88320.0
-19.41587471961975,90892.0
-19.36820673942566,94000.0
-19.36820673942566,91928.0
-19.36820673942566,92964.0
-19.36820673942566,96572.0
-18.54473614692688,97608.0
-18.508543968200684,99680.0
-18.508543968200684,98644.0
-18.468590021133423,103288.0
-18.468590021133423,105860.0
-18.468590021133423,100716.0
-18.181567907333374,107920.0
-18.115190267562866,109992.0
-18.115190267562866,108956.0
-17.476284742355347,117684.0
-17.412355422973633,118720.0
-17.34847402572632,121292.0
-17.284029960632324,123364.0
-17.284029960632324,124400.0
-17.284029960632324,122328.0
-17.208032608032227,127508.0
-17.208032608032227,126472.0
-17.208032608032227,125436.0
-17.208032608032227,130080.0
-17.208032608032227,131116.0
-17.208032608032227,132152.0
-17.132932662963867,138868.0
-17.132932662963867,136296.0
-17.132932662963867,135260.0
-17.132932662963867,134224.0
-17.132932662963867,133188.0
-17.132932662963867,139904.0
-17.018702745437622,141452.0
-16.93666410446167,145060.0
-16.93666410446167,146096.0
-16.93666410446167,144024.0
-16.900033712387085,153788.0
-16.347699880599976,154824.0
-16.347699880599976,157396.0
-16.200525045394897,158944.0
-16.200525045394897,166196.0
-16.200525045394897,162052.0
-16.200525045394897,159980.0
-16.200525045394897,161016.0
-16.200525045394897,164124.0
-16.200525045394897,165160.0
-16.200525045394897,163088.0
-16.16793966293335,167232.0
-16.16793966293335,168268.0
-15.303438663482666,170340.0
-15.303438663482666,171376.0
-15.303438663482666,169304.0
-15.303438663482666,172412.0
-14.991184711456299,177032.0
-14.931307792663574,179604.0
-14.871170282363892,180640.0
-14.798840522766113,181676.0
-14.723783493041992,185284.0
-14.723783493041992,186320.0
-14.723783493041992,184248.0
-14.723783493041992,187356.0
-14.652297973632812,189928.0
-14.343158960342407,194548.0
-14.286769390106201,195584.0
-14.159808874130249,198168.0
-14.159808874130249,197132.0
-14.083863258361816,200240.0
-14.083863258361816,199204.0
-14.083863258361816,201276.0
-14.01137661933899,203848.0
-13.88282823562622,206432.0
-13.88282823562622,205396.0
-13.810023307800293,207468.0
-13.810023307800293,209540.0
-13.810023307800293,208504.0
-13.810023307800293,210576.0
-13.810023307800293,211612.0
-13.771888494491577,212648.0
-13.771888494491577,215220.0
-13.291045665740967,216256.0
-13.16283130645752,217804.0
-13.100956916809082,218840.0
-12.97084355354309,219876.0
-12.906918048858643,220912.0
-12.840677261352539,221948.0
-12.76797604560852,222984.0
-12.76797604560852,224020.0
-12.695915222167969,225056.0
-12.626582622528076,226092.0
-12.626582622528076,227128.0
-12.562699317932129,228164.0
-12.438344717025757,230224.0
-12.310356616973877,231772.0
-12.234553337097168,232808.0
-12.234553337097168,233844.0
-12.14757513999939,235392.0
-12.14757513999939,236428.0
-12.14757513999939,237464.0
-12.078561782836914,238500.0
-11.934152603149414,240560.0
-11.59012746810913,250300.0
-11.254514455795288,254920.0
-11.19036316871643,257492.0
-11.052006483078003,260076.0
-11.052006483078003,261112.0
-11.052006483078003,259040.0
-10.914383888244629,262660.0
-10.835777044296265,263696.0
-10.835777044296265,265768.0
-10.835777044296265,264732.0
-10.702314853668213,267316.0
-10.61602234840393,268352.0
-10.61602234840393,269388.0
-10.542146921157837,271460.0
-10.542146921157837,272496.0
-10.542146921157837,270424.0
-10.465184688568115,274044.0
-10.234004020690918,276616.0
-10.234004020690918,277652.0
-10.094133853912354,287904.0
-9.974923610687256,288940.0
-9.974923610687256,289976.0
-9.974923610687256,291012.0
-9.974923610687256,292048.0
-9.974923610687256,293084.0
-9.974923610687256,294120.0
-9.974923610687256,295156.0
-9.974923610687256,297728.0
-9.974923610687256,298764.0
-9.974923610687256,299800.0
-9.974923610687256,300836.0
-9.974923610687256,301872.0
-9.897539138793945,302908.0
-9.897539138793945,303944.0
-9.819704055786133,304980.0
-9.819704055786133,306016.0
-9.745264053344727,307052.0
-9.601059436798096,308600.0
-9.601059436798096,309636.0
-9.525251150131226,310672.0
-9.449408769607544,313244.0
-9.304522275924683,314792.0
-9.233140230178833,315828.0
-9.233140230178833,316864.0
-9.157397747039795,317900.0
-9.157397747039795,318936.0
-9.002784252166748,320484.0
-9.002784252166748,321520.0
-8.9242262840271,322556.0
-8.851889848709106,323592.0
-8.851889848709106,324628.0
-8.777332544326782,325664.0
-8.606740951538086,327212.0
-8.529144287109375,329784.0
-8.529144287109375,330820.0
-8.444891214370728,331856.0
-8.354421854019165,333404.0
-8.009168148040771,338024.0
-7.780251741409302,339572.0
-7.700933456420898,342144.0
-7.40483283996582,348300.0
-7.3205461502075195,349336.0
-7.244779586791992,350372.0
-7.077724933624268,351920.0
-7.077724933624268,352956.0
-6.922591924667358,355016.0
-6.845017433166504,357588.0
-6.7681639194488525,359136.0
-6.684754371643066,360172.0
-6.60477876663208,361720.0
-6.52245569229126,362756.0
-6.310805797576904,364304.0
-6.310805797576904,365852.0
-6.080669641494751,367400.0
-5.991084814071655,368436.0
-5.912023305892944,373056.0
-5.819942951202393,374092.0
-5.819942951202393,375128.0
-5.819942951202393,376676.0
-5.671227216720581,378224.0
-5.671227216720581,379260.0
-5.514619827270508,380808.0
-5.436656951904297,381844.0
-5.356332063674927,383392.0
-5.197216987609863,384940.0
-5.10688853263855,385976.0
-5.014197111129761,387012.0
-4.674518823623657,391632.0
-4.674518823623657,392668.0
-4.593005895614624,393704.0
-4.511133909225464,395776.0
-4.511133909225464,394740.0
-4.348528623580933,397324.0
-4.348528623580933,398360.0
-4.264561414718628,399396.0
-4.264561414718628,400432.0
-4.180609226226807,402504.0
-4.180609226226807,403540.0
-4.180609226226807,401468.0
-4.100487232208252,405088.0
-4.024529695510864,406124.0
-4.024529695510864,407672.0
-3.9376816749572754,408708.0
-3.7722766399383545,410256.0
-3.7722766399383545,411292.0
-3.7722766399383545,412328.0
-3.6801533699035645,413876.0
-3.6801533699035645,414912.0
-3.516119956970215,416460.0
-3.360238552093506,417496.0
-3.196322202682495,419044.0
-3.196322202682495,420592.0
-3.196322202682495,421628.0
-3.108280897140503,422664.0
-3.108280897140503,423700.0
-3.0263450145721436,424736.0
-2.868303060531616,426284.0
-2.788747787475586,427320.0
-2.6936073303222656,433012.0
-2.6936073303222656,435084.0
-2.6936073303222656,428356.0
-2.6936073303222656,429392.0
-2.6936073303222656,430428.0
-2.6936073303222656,431976.0
-2.6936073303222656,434048.0
-2.6164515018463135,436120.0
-2.5271003246307373,437156.0
-2.5271003246307373,438192.0
-2.4178285598754883,439228.0
-2.4178285598754883,444920.0
-2.4178285598754883,443884.0
-2.4178285598754883,445956.0
-2.4178285598754883,440264.0
-2.4178285598754883,442848.0
-2.4178285598754883,441300.0
-2.331512928009033,446992.0
-2.224484443664551,448028.0
-2.224484443664551,449064.0
-2.224484443664551,450612.0
-2.224484443664551,451648.0
-2.1274642944335938,452684.0
-1.7836875915527344,464472.0
-1.687479019165039,466544.0
-1.687479019165039,465508.0
-1.687479019165039,468092.0
-1.5775065422058105,471700.0
-1.5775065422058105,472736.0
-1.5775065422058105,470664.0
-1.3988864421844482,477868.0
-0.9251811504364014,482488.0
-0.8315927982330322,484560.0
-0.8315927982330322,483524.0
-0.7393627166748047,485596.0
-0.6558578014373779,487144.0
-0.4887542724609375,488692.0
-0.3188490867614746,490240.0
-0.1461477279663086,491788.0
0.3199954032897949,496408.0
0.41642236709594727,502064.0
0.41642236709594727,501028.0
0.41642236709594727,503100.0
0.5051765441894531,504648.0
0.5051765441894531,506196.0
0.5884637832641602,508780.0
0.5884637832641602,507744.0
0.68288254737854,509816.0
0.8502576351165771,511364.0
0.8502576351165771,512400.0
0.8502576351165771,513436.0
0.8502576351165771,514472.0
1.0084187984466553,516532.0
1.1008033752441406,519628.0
1.1008033752441406,518080.0
1.1926348209381104,520664.0
1.282557725906372,521700.0
1.3765342235565186,523248.0
1.3765342235565186,524284.0
1.3765342235565186,525320.0
1.4604394435882568,526356.0
1.5486571788787842,528940.0
1.5486571788787842,527392.0
1.7089545726776123,530488.0
1.7089545726776123,531524.0
1.7930011749267578,532560.0
2.0310311317443848,535644.0
