SECONDS,prefix_cache_block_movements_gpu_to_cpu
1746685414.885077,0.0
1746685414.9492893,0.0
1746685414.9975903,0.0
1746685415.0305367,0.0
1746685415.069205,0.0
1746685415.0939705,0.0
1746685415.121955,0.0
1746685415.1539955,0.0
1746685415.178139,0.0
1746685415.2105427,0.0
1746685415.2411284,0.0
1746685415.2658896,0.0
1746685415.3020728,0.0
1746685415.3667784,0.0
1746685415.4221523,0.0
1746685415.4545264,0.0
1746685415.48661,0.0
1746685415.5111454,0.0
1746685415.5465634,0.0
1746685415.5758436,0.0
1746685415.6037028,0.0
1746685415.6317258,0.0
1746685415.6596622,0.0
1746685415.687709,0.0
1746685415.7158062,0.0
1746685415.7437458,0.0
1746685415.7736661,0.0
1746685415.802533,0.0
1746685415.853861,0.0
1746685415.8756151,0.0
1746685415.9078538,0.0
1746685415.9357958,0.0
1746685415.9637856,0.0
1746685415.9917815,0.0
1746685416.0198243,0.0
1746685416.047809,0.0
1746685416.0757632,0.0
1746685416.1037757,0.0
1746685416.1317585,0.0
1746685416.1597817,0.0
1746685416.1877968,0.0
1746685416.2184658,0.0
1746685416.2431087,0.0
1746685416.2752552,0.0
1746685416.3025172,0.0
1746685416.3307416,0.0
1746685416.3630126,0.0
1746685416.4275098,0.0
1746685416.461864,0.0
1746685416.4926474,0.0
1746685416.5226874,0.0
1746685416.550916,0.0
1746685416.5788846,0.0
1746685416.6068976,0.0
1746685416.6348815,0.0
1746685416.6630185,0.0
1746685416.6909003,0.0
1746685416.7187598,0.0
1746685416.7538342,0.0
1746685416.7789958,0.0
1746685416.8109078,0.0
1746685416.8429968,0.0
1746685416.8709488,0.0
1746685416.8989453,0.0
1746685416.9340212,0.0
1746685416.9671497,0.0
1746685416.9949207,0.0
1746685417.024653,0.0
1746685417.0526562,0.0
1746685417.085887,0.0
1746685417.1149068,0.0
1746685417.1454847,0.0
1746685417.1768324,0.0
1746685417.207857,0.0
1746685417.2391229,0.0
1746685417.2626183,0.0
1746685417.2979126,0.0
1746685417.3307066,0.0
1746685417.3577602,0.0
1746685417.4145572,0.0
1746685417.4693274,0.0
1746685417.5273275,0.0
1746685417.575343,0.0
1746685417.6312535,0.0
1746685417.7104483,0.0
1746685417.7330842,0.0
1746685417.7659721,0.0
1746685417.789095,0.0
1746685417.8219333,0.0
1746685417.8448176,0.0
1746685417.877926,0.0
1746685417.9008973,0.0
1746685417.9339023,0.0
1746685417.956881,0.0
1746685417.9900959,0.0
1746685418.0188844,0.0
1746685418.0447185,0.0
1746685418.077865,0.0
1746685418.1068652,0.0
1746685418.132869,0.0
1746685418.1861043,0.0
1746685418.2107234,0.0
1746685418.2427578,0.0
1746685418.27523,0.0
1746685418.30718,0.0
1746685418.3388138,0.0
1746685418.399174,0.0
1746685418.4619832,0.0
1746685418.5220864,0.0
1746685418.586432,0.0
1746685418.6109762,0.0
1746685418.6430767,0.0
1746685418.6695006,0.0
1746685418.7223449,0.0
1746685418.7583058,0.0
1746685418.7831047,0.0
1746685418.8152921,0.0
1746685418.8475702,0.0
1746685418.879522,0.0
1746685418.9075148,0.0
1746685418.9376507,0.0
1746685418.9654627,0.0
1746685418.9990551,0.0
1746685419.0311642,0.0
1746685419.0572138,0.0
1746685419.11014,0.0
1746685419.1459486,0.0
1746685419.1689744,0.0
1746685419.2020202,0.0
1746685419.225069,0.0
1746685419.2581923,0.0
1746685419.2869244,0.0
1746685419.3129654,0.0
1746685419.3458745,0.0
1746685419.3992317,0.0
1746685419.4606705,0.0
1746685419.5233512,0.0
1746685419.5755358,0.0
1746685419.6340244,0.0
1746685419.6952462,0.0
1746685419.75831,0.0
1746685419.819529,0.0
1746685419.886539,0.0
1746685419.919752,0.0
1746685419.947487,0.0
1746685419.9824624,0.0
1746685420.0074368,0.0
1746685420.0467358,0.0
1746685420.071612,0.0
1746685420.0996587,0.0
1746685420.1234746,0.0
1746685420.1514122,0.0
1746685420.1835093,0.0
1746685420.211459,0.0
1746685420.2395074,0.0
1746685420.2677078,0.0
1746685420.2954502,0.0
1746685420.3234417,0.0
1746685420.3608758,0.0
1746685420.3902538,0.0
1746685420.4599628,0.0
1746685420.5239651,0.0
1746685420.5841253,0.0
1746685420.6317933,0.0
1746685420.6596308,0.0
1746685420.687678,0.0
1746685420.7198756,0.0
1746685420.7478456,0.0
1746685420.7797635,0.0
1746685420.819719,0.0
1746685420.8476038,0.0
1746685420.8755975,0.0
1746685420.9035375,0.0
1746685420.931549,0.0
1746685420.9596083,0.0
1746685420.9987702,0.0
1746685421.0276132,0.0
1746685421.0545752,0.0
1746685421.0837612,0.0
1746685421.1154847,0.0
1746685421.147583,0.0
1746685421.1746216,0.0
1746685421.2034743,0.0
1746685421.2314339,0.0
1746685421.2593036,0.0
1746685421.2954583,0.0
1746685421.3233728,0.0
1746685421.3624806,0.0
1746685421.3995624,0.0
1746685421.4274886,0.0
1746685421.4552639,0.0
1746685421.491456,0.0
1746685421.53141,0.0
1746685421.5985382,0.0
1746685421.6442513,0.0
1746685421.69337,0.0
1746685421.74793,0.0
1746685421.818432,0.0
1746685421.8848097,0.0
1746685421.9444306,0.0
1746685421.9960072,0.0
1746685422.0481477,0.0
1746685422.0956774,0.0
1746685422.1510906,0.0
1746685422.2038875,0.0
1746685422.2673604,0.0
1746685422.3315446,0.0
1746685422.3795836,0.0
1746685422.4465322,0.0
1746685422.5237153,0.0
1746685422.5876446,0.0
1746685422.651526,0.0
1746685422.71597,0.0
1746685422.7919674,0.0
1746685422.8670673,0.0
1746685422.9230568,0.0
1746685422.9812973,0.0
1746685423.063336,0.0
1746685423.0999663,0.0
1746685423.128025,0.0
1746685423.1668303,0.0
1746685423.2067993,0.0
1746685423.2323492,0.0
1746685423.2747762,0.0
1746685423.30007,0.0
1746685423.3399975,0.0
1746685423.3720422,0.0
1746685423.4107256,0.0
1746685423.4439998,0.0
1746685423.490994,0.0
1746685423.52368,0.0
1746685423.586985,0.0
1746685423.6523001,0.0
1746685423.7111187,0.0
1746685423.799475,0.0
1746685423.8320603,0.0
1746685423.8720238,0.0
1746685423.9053283,0.0
1746685423.9471445,0.0
1746685423.9802005,0.0
1746685424.0088243,0.0
1746685424.0551155,0.0
1746685424.0865555,0.0
1746685424.1172686,0.0
1746685424.1590223,0.0
1746685424.184696,0.0
1746685424.2167704,0.0
1746685424.2570236,0.0
1746685424.2889469,0.0
1746685424.31661,0.0
1746685424.352197,0.0
1746685424.3805046,0.0
1746685424.425935,0.0
1746685424.452708,0.0
1746685424.4950175,0.0
1746685424.5202982,0.0
1746685424.5560248,0.0
1746685424.6273384,0.0
1746685424.6965613,0.0
1746685424.760803,0.0
1746685424.8124323,0.0
1746685424.8758695,0.0
1746685424.9288795,0.0
1746685425.0088153,0.0
1746685425.0686922,0.0
1746685425.1288297,0.0
1746685425.2011595,0.0
1746685425.2762165,0.0
1746685425.347702,0.0
1746685425.4087944,0.0
1746685425.4690332,0.0
1746685425.5253088,0.0
1746685425.580593,0.0
1746685425.656841,0.0
1746685425.7132306,0.0
1746685425.768588,0.0
1746685425.8401911,0.0
1746685425.9161367,0.0
1746685425.9886234,0.0
1746685426.0486805,0.0
1746685426.1171718,0.0
1746685426.1899767,0.0
1746685426.2281115,0.0
1746685426.2690303,0.0
1746685426.3036678,0.0
1746685426.3427923,0.0
1746685426.3767726,0.0
1746685426.4169595,0.0
1746685426.4552674,0.0
1746685426.4869702,0.0
1746685426.5226235,0.0
1746685426.5609863,0.0
1746685426.5937266,0.0
1746685426.6363301,0.0
1746685426.7089543,0.0
1746685426.7635155,0.0
1746685426.8371687,0.0
1746685426.899043,0.0
1746685426.9564052,0.0
1746685427.0291564,0.0
1746685427.093082,0.0
1746685427.1593227,0.0
1746685427.232024,0.0
1746685427.3040848,0.0
1746685427.3734174,0.0
1746685427.4373007,0.0
1746685427.4933395,0.0
1746685427.5616553,0.0
1746685427.6218164,0.0
1746685427.6896434,0.0
1746685427.7654467,0.0
1746685427.8524249,0.0
1746685427.9214382,0.0
1746685427.981629,0.0
1746685428.0658474,0.0
1746685428.1295455,0.0
1746685428.1975162,0.0
1746685428.2574115,0.0
1746685428.3215,0.0
1746685428.4098725,0.0
1746685428.469244,0.0
1746685428.529216,0.0
1746685428.5891237,0.0
1746685428.6598706,0.0
1746685428.7454855,0.0
1746685428.8096368,0.0
1746685428.8622983,0.0
1746685428.9479935,0.0
1746685429.002461,0.0
1746685429.085616,0.0
1746685429.164223,0.0
1746685429.225661,0.0
1746685429.2976851,0.0
1746685429.3839777,0.0
1746685429.457853,0.0
1746685429.5348153,0.0
1746685429.6016326,0.0
1746685429.6703527,0.0
1746685429.765996,0.0
1746685429.8288932,0.0
1746685429.9058661,0.0
1746685430.0250764,0.0
1746685430.1024609,0.0
1746685430.180296,0.0
1746685430.254736,0.0
1746685430.3143563,0.0
1746685430.3989406,0.0
1746685430.4747488,0.0
1746685430.5505912,0.0
1746685430.6121285,0.0
1746685430.6954777,0.0
1746685430.7668598,0.0
1746685430.8426023,0.0
1746685430.9063785,0.0
1746685430.9972157,0.0
1746685431.0757737,0.0
1746685431.1481102,0.0
1746685431.2226675,0.0
1746685431.293008,0.0
1746685431.393259,0.0
1746685431.4708557,0.0
1746685431.5551088,0.0
1746685431.6455781,0.0
1746685431.7126417,0.0
1746685431.7805736,0.0
1746685431.8590531,0.0
1746685431.9270818,0.0
1746685431.9908319,0.0
1746685432.0711348,0.0
1746685432.1389468,0.0
1746685432.2197483,0.0
1746685432.2990665,0.0
1746685432.3669765,0.0
1746685432.431213,0.0
1746685432.4951751,0.0
1746685432.5951672,0.0
1746685432.6794538,0.0
1746685432.7552204,0.0
1746685432.826926,0.0
1746685432.922275,0.0
1746685432.987004,0.0
1746685433.077408,0.0
1746685433.1549826,0.0
1746685433.231836,0.0
1746685433.3152456,0.0
1746685433.3952212,0.0
1746685433.4775443,0.0
1746685433.5403562,0.0
1746685433.6111884,0.0
1746685433.6891942,0.0
1746685433.7634223,0.0
1746685433.8316333,0.0
1746685433.9193304,0.0
1746685434.0089152,0.0
1746685434.0879767,0.0
1746685434.180057,0.0
1746685434.247027,0.0
1746685434.3287728,0.0
1746685434.3951356,0.0
1746685434.4853802,0.0
1746685434.563343,0.0
1746685434.643668,0.0
1746685434.715445,0.0
1746685434.802783,0.0
1746685434.8931115,0.0
1746685434.985803,0.0
1746685435.0612226,0.0
1746685435.1311975,0.0
1746685435.1952736,0.0
1746685435.2574744,0.0
1746685435.3254812,0.0
1746685435.406994,0.0
1746685435.488866,0.0
1746685435.561281,0.0
1746685435.6514714,0.0
1746685435.7354386,0.0
1746685435.8193908,0.0
1746685435.8995128,0.0
1746685435.9754703,0.0
1746685436.0623183,0.0
1746685436.135183,0.0
1746685436.2277234,0.0
1746685436.3198466,0.0
1746685436.3939612,0.0
1746685436.48388,0.0
1746685436.5495002,0.0
1746685436.6397614,0.0
1746685436.7093728,0.0
1746685436.8036778,0.0
1746685436.891719,0.0
1746685436.973655,0.0
1746685437.041355,0.0
1746685437.131697,0.0
1746685437.2112522,0.0
1746685437.3063927,0.0
1746685437.3835485,0.0
1746685437.4728997,0.0
1746685437.5821714,0.0
1746685437.668487,0.0
1746685437.7755156,0.0
1746685437.8725357,0.0
1746685437.9481916,0.0
1746685438.0243907,0.0
1746685438.101062,0.0
1746685438.2163124,0.0
1746685438.312521,0.0
1746685438.4224935,0.0
1746685438.500966,0.0
1746685438.6011136,0.0
1746685438.6727662,0.0
1746685438.7405825,0.0
1746685438.828624,0.0
1746685438.9064624,0.0
1746685438.980425,0.0
1746685439.0748188,0.0
1746685439.1684072,0.0
1746685439.2606373,0.0
1746685439.3441422,0.0
1746685439.4181516,0.0
1746685439.5112457,0.0
1746685439.59223,0.0
1746685439.681151,0.0
1746685439.7529788,0.0
1746685439.8538523,0.0
1746685439.9347763,0.0
1746685440.00564,0.0
1746685440.075967,0.0
1746685440.1436405,0.0
1746685440.2237878,0.0
1746685440.3199954,0.0
1746685440.4164224,0.0
1746685440.5051765,0.0
1746685440.5884638,0.0
1746685440.6828825,0.0
1746685440.757483,0.0
1746685440.8502576,0.0
1746685440.922067,0.0
1746685441.0084188,0.0
1746685441.1008034,0.0
1746685441.1926348,0.0
1746685441.2825577,0.0
1746685441.3765342,0.0
1746685441.4604394,0.0
1746685441.5486572,0.0
1746685441.6147127,0.0
1746685441.7089546,0.0
1746685441.7930012,0.0
1746685441.85952,0.0
1746685441.9285579,0.0
1746685442.0310311,0.0
1746685442.1225715,0.0
1746685442.1957107,0.0
1746685442.2857044,0.0
1746685442.3746078,0.0
1746685442.4441028,0.0
1746685442.5363634,0.0
1746685442.6262977,0.0
1746685442.7185693,0.0
1746685442.8002806,0.0
1746685442.8885517,0.0
1746685442.9788551,0.0
1746685443.0683298,0.0
1746685443.158765,0.0
1746685443.2501123,0.0
1746685443.3240192,0.0
1746685443.4139428,0.0
1746685443.4920092,0.0
1746685443.5805237,0.0
1746685443.6719892,0.0
1746685443.7458115,0.0
1746685443.8373976,0.0
1746685443.919577,0.0
1746685443.988416,0.0
1746685444.0769494,0.0
1746685444.1562161,0.0
1746685444.2409246,0.0
1746685444.3232682,0.0
1746685444.39531,0.0
1746685444.4833577,0.0
1746685444.5493643,0.0
1746685444.6421027,0.0
1746685444.7316399,0.0
1746685444.8023596,0.0
1746685444.8699002,0.0
1746685444.945739,0.0
1746685445.0109286,0.0
1746685445.085599,0.0
1746685445.165632,0.0
1746685445.2474325,0.0
1746685445.3192453,0.0
1746685445.4034326,0.0
1746685445.4891016,0.0
1746685445.5546405,0.0
1746685445.618752,0.0
1746685445.6897423,0.0
1746685445.765081,0.0
1746685445.8672392,0.0
1746685445.945841,0.0
1746685446.010527,0.0
1746685446.089398,0.0
1746685446.1790493,0.0
1746685446.2625709,0.0
1746685446.3389628,0.0
1746685446.4024222,0.0
1746685446.466754,0.0
1746685446.54326,0.0
1746685446.6470718,0.0
1746685446.7269483,0.0
1746685446.8025153,0.0
1746685446.8807943,0.0
1746685446.9703405,0.0
1746685447.0523503,0.0
1746685447.1309755,0.0
1746685447.1977003,0.0
1746685447.2830346,0.0
1746685447.3672788,0.0
1746685447.4428756,0.0
1746685447.5071418,0.0
1746685447.5744135,0.0
1746685447.6682777,0.0
1746685447.7452557,0.0
1746685447.818812,0.0
1746685447.892993,0.0
1746685447.9850485,0.0
1746685448.0609734,0.0
1746685448.139344,0.0
1746685448.2101772,0.0
1746685448.290729,0.0
1746685448.360899,0.0
1746685448.4228854,0.0
1746685448.5170383,0.0
1746685448.5946279,0.0
1746685448.674154,0.0
1746685448.7386935,0.0
1746685448.8263953,0.0
1746685448.8981164,0.0
1746685448.9861634,0.0
1746685449.056801,0.0
1746685449.1287105,0.0
1746685449.2166917,0.0
1746685449.30034,0.0
1746685449.3684797,0.0
1746685449.440509,0.0
1746685449.5130682,0.0
1746685449.6101983,0.0
1746685449.673837,0.0
1746685449.7646334,0.0
1746685449.8371425,0.0
1746685449.9183304,0.0
1746685449.994573,0.0
1746685450.0621176,0.0
1746685450.1479733,0.0
1746685450.2180183,0.0
1746685450.2820888,0.0
1746685450.3502429,0.0
1746685450.4219446,0.0
1746685450.4883447,0.0
1746685450.590453,0.0
1746685450.6540868,0.0
1746685450.730379,0.0
1746685450.7977095,0.0
1746685450.8619883,0.0
1746685450.9544227,0.0
1746685451.0218909,0.0
1746685451.1042578,0.0
1746685451.18422,0.0
1746685451.258074,0.0
1746685451.336326,0.0
1746685451.4101102,0.0
1746685451.4775693,0.0
1746685451.5591412,0.0
1746685451.6338677,0.0
1746685451.72434,0.0
1746685451.7992342,0.0
1746685451.882263,0.0
1746685451.960285,0.0
1746685452.0380309,0.0
1746685452.1143558,0.0
1746685452.1945915,0.0
1746685452.2623775,0.0
1746685452.3340704,0.0
1746685452.402324,0.0
1746685452.476506,0.0
1746685452.5846772,0.0
1746685452.664909,0.0
1746685452.7339778,0.0
1746685452.822561,0.0
1746685452.902866,0.0
1746685452.9743855,0.0
1746685453.0381417,0.0
1746685453.1265686,0.0
1746685453.2035444,0.0
1746685453.266412,0.0
1746685453.358449,0.0
1746685453.4302685,0.0
1746685453.5251222,0.0
1746685453.6146138,0.0
1746685453.6864858,0.0
1746685453.7544181,0.0
1746685453.828812,0.0
1746685453.9211135,0.0
1746685454.002865,0.0
1746685454.0883791,0.0
1746685454.162544,0.0
1746685454.2263746,0.0
1746685454.3186893,0.0
1746685454.3870418,0.0
1746685454.4650033,0.0
1746685454.5385919,0.0
1746685454.6175647,0.0
1746685454.730893,0.0
1746685454.8027647,0.0
1746685454.87064,0.0
1746685454.96027,0.0
1746685455.057723,0.0
1746685455.1349752,0.0
1746685455.2148802,0.0
1746685455.2952757,0.0
1746685455.3830936,0.0
1746685455.463491,0.0
1746685455.5551162,0.0
1746685455.6571004,0.0
1746685455.7469976,0.0
1746685455.8237138,0.0
1746685455.905725,0.0
1746685455.9765942,0.0
1746685456.0840154,0.0
1746685456.161805,0.0
1746685456.261723,0.0
1746685456.347401,0.0
1746685456.4314494,0.0
1746685456.507375,0.0
1746685456.5962443,0.0
1746685456.6879754,0.0
1746685456.7738445,0.0
1746685456.8664107,0.0
1746685456.9560533,0.0
1746685457.0241244,0.0
1746685457.1118295,0.0
1746685457.1999867,0.0
1746685457.2758937,0.0
1746685457.3640735,0.0
1746685457.4395688,0.0
1746685457.550209,0.0
1746685457.6400285,0.0
1746685457.7359512,0.0
1746685457.8285334,0.0
1746685457.921478,0.0
1746685458.011974,0.0
1746685458.0837772,0.0
1746685458.1733494,0.0
1746685458.2524712,0.0
1746685458.3502908,0.0
1746685458.427945,0.0
1746685458.5190542,0.0
1746685458.606525,0.0
1746685458.7041516,0.0
1746685458.7916734,0.0
1746685458.8692331,0.0
1746685458.9659693,0.0
1746685459.0518587,0.0
1746685459.1363022,0.0
1746685459.2239652,0.0
1746685459.314428,0.0
1746685459.394287,0.0
1746685459.4961169,0.0
1746685459.5886192,0.0
1746685459.67869,0.0
1746685459.7801502,0.0
1746685459.855941,0.0
1746685459.936147,0.0
1746685460.0091558,0.0
1746685460.1202633,0.0
1746685460.2083905,0.0
1746685460.2859426,0.0
1746685460.3763204,0.0
1746685460.460192,0.0
1746685460.5319815,0.0
1746685460.6248085,0.0
1746685460.70807,0.0
1746685460.783773,0.0
1746685460.8783076,0.0
1746685460.9599926,0.0
1746685461.035681,0.0
1746685461.13553,0.0
1746685461.2346606,0.0
1746685461.3188593,0.0
1746685461.3933048,0.0
1746685461.4838316,0.0
1746685461.5827124,0.0
1746685461.655692,0.0
1746685461.7374718,0.0
1746685461.8399997,0.0
1746685461.9279895,0.0
1746685462.022003,0.0
1746685462.111819,0.0
1746685462.2060456,0.0
1746685462.3023827,0.0
1746685462.3904781,0.0
1746685462.4832473,0.0
1746685462.5739832,0.0
1746685462.6633792,0.0
1746685462.7543867,0.0
