SECONDS,request_arrived
-25.515617609024048,1.0
-25.503282070159912,2.0
-25.485819339752197,3.0
-25.47356128692627,4.0
-25.46139693260193,5.0
-25.443897485733032,6.0
-24.758105039596558,7.0
-24.747124195098877,8.0
-24.73622751235962,9.0
-24.725287199020386,10.0
-24.714375734329224,11.0
-24.703474760055542,12.0
-24.69255781173706,13.0
-24.68163228034973,14.0
-23.735290050506592,15.0
-23.723519563674927,16.0
-23.706496000289917,17.0
-23.694706916809082,18.0
-23.682876586914062,19.0
-23.67106580734253,20.0
-23.659205436706543,21.0
-23.647351026535034,22.0
-23.635502338409424,23.0
-22.72232437133789,24.0
-22.71045470237732,25.0
-22.698681116104126,26.0
-22.681769132614136,27.0
-22.66467261314392,28.0
-22.652806282043457,29.0
-21.696069478988647,30.0
-21.6842782497406,31.0
-21.672425746917725,32.0
-21.660568475723267,33.0
-21.64873170852661,34.0
-21.637007474899292,35.0
-21.62001919746399,36.0
-21.60291862487793,37.0
-21.591023206710815,38.0
-20.675771236419678,39.0
-20.658751010894775,40.0
-20.647026777267456,41.0
-20.635282278060913,42.0
-20.62358260154724,43.0
-20.606810569763184,44.0
-20.595153331756592,45.0
-20.578338384628296,46.0
-20.561543703079224,47.0
-20.549835681915283,48.0
-20.538148403167725,49.0
-20.526464462280273,50.0
-20.51478672027588,51.0
-20.503098964691162,52.0
-20.486314296722412,53.0
-20.46934175491333,54.0
-20.457571029663086,55.0
-20.435500860214233,56.0
-20.41842484474182,57.0
-20.401772022247314,58.0
-20.384800672531128,59.0
-19.61961531639099,60.0
-19.607750177383423,61.0
-19.595869541168213,62.0
-19.583858251571655,63.0
-19.566655158996582,64.0
-19.554627180099487,65.0
-19.542704343795776,66.0
-19.530753135681152,67.0
-19.513522386550903,68.0
-19.501524448394775,69.0
-18.584024906158447,70.0
-18.57206082344055,71.0
-18.560123205184937,72.0
-18.548165798187256,73.0
-18.536214590072632,74.0
-18.51907467842102,75.0
-18.507174491882324,76.0
-18.49527645111084,77.0
-18.48346185684204,78.0
-18.4716215133667,79.0
-18.45973563194275,80.0
-18.448028326034546,81.0
-18.437114000320435,82.0
-18.426193475723267,83.0
-18.4152889251709,84.0
-18.40432119369507,85.0
-18.387402534484863,86.0
-17.535371780395508,87.0
-17.522083282470703,88.0
-17.510342359542847,89.0
-17.49333643913269,90.0
-17.481415510177612,91.0
-17.46959400177002,92.0
-17.45774245262146,93.0
-17.44588303565979,94.0
-17.43402671813965,95.0
-17.41700506210327,96.0
-17.40517807006836,97.0
-17.393351793289185,98.0
-17.381502866744995,99.0
-17.369652271270752,100.0
-17.3577561378479,101.0
-16.487509965896606,102.0
-16.475722074508667,103.0
-16.46390461921692,104.0
-16.452118158340454,105.0
-16.440305948257446,106.0
-16.42327570915222,107.0
-16.411426544189453,108.0
-16.399579763412476,109.0
-16.387768745422363,110.0
-16.37589740753174,111.0
-16.364042282104492,112.0
-16.352216005325317,113.0
-15.48188853263855,114.0
-15.470031023025513,115.0
-15.45820426940918,116.0
-15.446436405181885,117.0
-15.434692859649658,118.0
-15.422961711883545,119.0
-15.390559434890747,120.0
-15.36828064918518,121.0
-15.351195812225342,122.0
-15.329046964645386,123.0
-15.317078590393066,124.0
-15.305192708969116,125.0
-15.28817367553711,126.0
-15.26598834991455,127.0
-15.248850107192993,128.0
-15.22665286064148,129.0
-15.209593057632446,130.0
-14.391625165939331,131.0
