SECONDS,request_completed
-23.637450695037842,1.0
-23.33733057975769,2.0
-23.22139286994934,3.0
-23.033220767974854,4.0
-22.85498833656311,5.0
-22.8236300945282,6.0
-22.70235848426819,7.0
-22.425188064575195,8.0
-22.267408847808838,9.0
-22.01020050048828,10.0
-21.86741280555725,11.0
-21.18509793281555,12.0
-21.092956066131592,13.0
-20.969156503677368,14.0
-20.94326090812683,15.0
-20.943063974380493,16.0
-20.74216914176941,17.0
-20.742060899734497,18.0
-20.601168632507324,19.0
-20.539846181869507,20.0
-20.30512809753418,21.0
-20.080848217010498,22.0
-19.953890085220337,23.0
-19.928951263427734,24.0
-19.90093207359314,25.0
-19.732890129089355,26.0
-19.67700481414795,27.0
-19.61031699180603,28.0
-19.540762662887573,29.0
-19.4165940284729,30.0
-19.280845880508423,31.0
-19.252824544906616,32.0
-19.22088885307312,33.0
-19.001842260360718,34.0
-18.916898488998413,35.0
-18.825997591018677,36.0
-18.57318377494812,37.0
-18.545103788375854,38.0
-18.402032613754272,39.0
-18.115862369537354,40.0
-18.05638885498047,41.0
-18.05621647834778,42.0
-18.05603051185608,43.0
-18.004648447036743,44.0
-17.952661752700806,45.0
-17.952345371246338,46.0
-17.796650648117065,47.0
-17.732953548431396,48.0
-17.66868782043457,49.0
-17.47681188583374,50.0
-17.476635217666626,51.0
-17.412991762161255,52.0
-17.41267728805542,53.0
-17.28472352027893,54.0
-17.284600734710693,55.0
-17.284529447555542,56.0
-17.077618837356567,57.0
-16.76848077774048,58.0
-16.700559616088867,59.0
-16.556743621826172,60.0
-16.50969934463501,61.0
-16.413699865341187,62.0
-16.348397493362427,63.0
-15.883446216583252,64.0
-15.711796045303345,65.0
-15.547757387161255,66.0
-15.373359680175781,67.0
-15.240026712417603,68.0
-15.12493109703064,69.0
-14.79986023902893,70.0
-14.799492120742798,71.0
-14.724884748458862,72.0
-14.653164148330688,73.0
-14.531769514083862,74.0
-14.475616216659546,75.0
-14.160815000534058,76.0
-13.95227313041687,77.0
-13.95215392112732,78.0
-13.69725227355957,79.0
-13.658200979232788,80.0
-13.657951593399048,81.0
-13.583768129348755,82.0
-13.514092445373535,83.0
-13.439942836761475,84.0
-13.439832210540771,85.0
-13.439715385437012,86.0
-13.237254858016968,87.0
-13.16370415687561,88.0
-13.101806163787842,89.0
-12.768811464309692,90.0
-12.696738481521606,91.0
-12.627408266067505,92.0
-12.507552862167358,93.0
-12.507414817810059,94.0
-12.378984928131104,95.0
-12.148477792739868,96.0
-12.019321918487549,97.0
-12.019152164459229,98.0
-11.934951305389404,99.0
-11.87159013748169,100.0
-11.679117679595947,101.0
-11.591101884841919,102.0
-11.590837478637695,103.0
-11.53163194656372,104.0
-11.138569355010986,105.0
-11.138363599777222,106.0
-10.775264263153076,107.0
-10.702987670898438,108.0
-10.4662344455719,109.0
-10.466060400009155,110.0
-10.331138372421265,111.0
-10.33063006401062,112.0
-10.171739339828491,113.0
-10.171546220779419,114.0
-9.74635910987854,115.0
-9.602502584457397,116.0
-9.602050542831421,117.0
-9.526654243469238,118.0
-9.526326179504395,119.0
-9.389089345932007,120.0
-9.388925790786743,121.0
-9.305640935897827,122.0
-9.158510446548462,123.0
-8.074044704437256,124.0
-7.929925203323364,125.0
-7.57025146484375,126.0
-7.569701194763184,127.0
-7.506529808044434,128.0
-7.3219895362854,129.0
-7.321540832519531,130.0
-7.2458648681640625,131.0
-7.014125823974609,132.0
-6.7702271938323975,133.0
-6.769523620605469,134.0
-6.3900439739227295,135.0
-6.312160968780518,136.0
-6.311816692352295,137.0
-6.237403154373169,138.0
-5.912768602371216,139.0
-5.821641206741333,140.0
-5.821489334106445,141.0
-5.821255445480347,142.0
-5.820773363113403,143.0
-5.515916109085083,144.0
-5.357922554016113,145.0
-5.357428312301636,146.0
-5.285581588745117,147.0
-5.198643922805786,148.0
-5.108074426651001,149.0
-5.015438556671143,150.0
-4.870252370834351,151.0
-4.87011194229126,152.0
-4.870054244995117,153.0
