BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1893552,512.0,512.0,0.0,1.0,0.053104400634765625,0.00010371208190917969
1893553,512.0,512.0,0.0,1.0,0.04063105583190918,7.271766662597656e-05
1893554,512.0,512.0,0.0,1.0,0.03924059867858887,6.961822509765625e-05
1893555,512.0,512.0,0.0,1.0,0.03922390937805176,7.963180541992188e-05
1893556,512.0,512.0,0.0,1.0,0.04937744140625,6.794929504394531e-05
1893557,512.0,512.0,0.0,1.0,0.04507279396057129,7.62939453125e-05
1893558,512.0,512.0,0.0,1.0,0.04420185089111328,6.985664367675781e-05
1893559,512.0,512.0,0.0,1.0,0.04960370063781738,7.081031799316406e-05
1893560,512.0,512.0,0.0,1.0,0.04498291015625,7.05718994140625e-05
1893561,512.0,512.0,0.0,1.0,0.05199432373046875,6.985664367675781e-05
1893562,512.0,512.0,0.0,1.0,0.046286582946777344,8.296966552734375e-05
1893563,512.0,512.0,0.0,1.0,0.042005300521850586,7.319450378417969e-05
1893564,512.0,512.0,0.0,1.0,0.050342559814453125,7.081031799316406e-05
1893565,512.0,512.0,0.0,1.0,0.04885530471801758,7.033348083496094e-05
1893566,512.0,512.0,0.0,1.0,0.05508732795715332,7.081031799316406e-05
1893567,512.0,512.0,0.0,1.0,0.049123287200927734,7.367134094238281e-05
1893568,512.0,512.0,0.0,1.0,0.043588876724243164,6.67572021484375e-05
1893569,524.0,524.0,0.0,2.0,0.08049392700195312,7.295608520507812e-05
1893570,525.0,524.0,1.0,3.0,0.05962824821472168,9.250640869140625e-05
1893571,512.0,511.0,1.0,2.0,0.0426793098449707,6.771087646484375e-05
1893572,512.0,511.0,1.0,2.0,0.049635887145996094,6.794929504394531e-05
1893573,512.0,512.0,0.0,1.0,0.04269814491271973,6.67572021484375e-05
1893574,512.0,512.0,0.0,1.0,0.03884005546569824,6.67572021484375e-05
1893575,512.0,512.0,0.0,1.0,0.04938793182373047,6.318092346191406e-05
1893576,512.0,512.0,0.0,1.0,0.0445253849029541,7.033348083496094e-05
1893577,512.0,512.0,0.0,1.0,0.04451298713684082,6.604194641113281e-05
1893578,512.0,512.0,0.0,1.0,0.05074262619018555,6.4849853515625e-05
1893579,512.0,512.0,0.0,1.0,0.055944204330444336,6.890296936035156e-05
1893580,512.0,512.0,0.0,1.0,0.04787635803222656,7.2479248046875e-05
1893581,512.0,512.0,0.0,1.0,0.04393482208251953,6.67572021484375e-05
1893582,512.0,512.0,0.0,1.0,0.047927141189575195,6.604194641113281e-05
1893583,526.0,526.0,0.0,2.0,0.05915999412536621,6.699562072753906e-05
1893584,512.0,511.0,1.0,2.0,0.04501771926879883,8.392333984375e-05
1893585,526.0,525.0,1.0,3.0,0.055876970291137695,6.723403930664062e-05
1893586,512.0,510.0,2.0,3.0,0.04690194129943848,7.653236389160156e-05
1893587,512.0,510.0,2.0,3.0,0.04211926460266113,6.437301635742188e-05
1893588,512.0,510.0,2.0,3.0,0.04427599906921387,6.67572021484375e-05
1893589,512.0,510.0,2.0,3.0,0.04938459396362305,7.224082946777344e-05
1893590,512.0,510.0,2.0,3.0,0.04882407188415527,6.771087646484375e-05
1893591,512.0,510.0,2.0,3.0,0.05512428283691406,7.367134094238281e-05
1893592,538.0,536.0,2.0,4.0,0.06505393981933594,7.009506225585938e-05
