SECONDS,decode_completed
-18.529441118240356,1.0
-18.469720363616943,2.0
-18.469720363616943,3.0
-18.426973342895508,4.0
-18.377269506454468,5.0
-17.850980758666992,6.0
-17.80587911605835,7.0
-17.749934911727905,8.0
-17.749934911727905,9.0
-17.702956438064575,10.0
-17.702956438064575,11.0
-17.660772800445557,12.0
-17.660772800445557,13.0
-17.616430044174194,14.0
-17.616430044174194,15.0
-17.566973209381104,16.0
-17.566973209381104,17.0
-17.518081426620483,18.0
-17.518081426620483,19.0
-17.462883472442627,20.0
-17.462883472442627,21.0
-17.397759437561035,23.0
-17.397759437561035,24.0
-17.397759437561035,22.0
-17.363287925720215,28.0
-17.363287925720215,27.0
-17.363287925720215,25.0
-17.363287925720215,26.0
-17.10581374168396,29.0
-17.10581374168396,30.0
-17.10581374168396,31.0
-17.10581374168396,32.0
-17.057539224624634,33.0
-17.057539224624634,34.0
-17.057539224624634,35.0
-17.057539224624634,36.0
-17.003339767456055,37.0
-17.003339767456055,39.0
-17.003339767456055,40.0
-17.003339767456055,38.0
-16.957837343215942,42.0
-16.957837343215942,43.0
-16.957837343215942,44.0
-16.957837343215942,41.0
-16.897648096084595,46.0
-16.897648096084595,47.0
-16.897648096084595,49.0
-16.897648096084595,45.0
-16.897648096084595,48.0
-16.8409743309021,51.0
-16.8409743309021,53.0
-16.8409743309021,55.0
-16.8409743309021,54.0
-16.8409743309021,52.0
-16.8409743309021,50.0
-16.780830144882202,57.0
-16.780830144882202,59.0
-16.780830144882202,60.0
-16.780830144882202,62.0
-16.780830144882202,56.0
-16.780830144882202,61.0
-16.780830144882202,58.0
-16.731642961502075,65.0
-16.731642961502075,63.0
-16.731642961502075,67.0
-16.731642961502075,68.0
-16.731642961502075,69.0
-16.731642961502075,64.0
-16.731642961502075,66.0
-16.673170804977417,70.0
-16.673170804977417,71.0
-16.673170804977417,76.0
-16.673170804977417,75.0
-16.673170804977417,74.0
-16.673170804977417,73.0
-16.673170804977417,72.0
-16.62600088119507,77.0
-16.62600088119507,79.0
-16.62600088119507,81.0
-16.62600088119507,78.0
-16.62600088119507,80.0
-16.62600088119507,82.0
-16.561869859695435,84.0
-16.561869859695435,89.0
-16.561869859695435,88.0
-16.561869859695435,83.0
-16.561869859695435,86.0
-16.561869859695435,87.0
-16.561869859695435,85.0
-16.513689756393433,92.0
-16.513689756393433,93.0
-16.513689756393433,96.0
-16.513689756393433,90.0
-16.513689756393433,91.0
-16.513689756393433,94.0
-16.513689756393433,95.0
-16.450512409210205,100.0
-16.450512409210205,104.0
-16.450512409210205,101.0
-16.450512409210205,102.0
-16.450512409210205,103.0
-16.450512409210205,99.0
-16.450512409210205,97.0
-16.450512409210205,98.0
-16.39358353614807,108.0
-16.39358353614807,112.0
-16.39358353614807,109.0
-16.39358353614807,110.0
-16.39358353614807,111.0
-16.39358353614807,107.0
-16.39358353614807,105.0
-16.39358353614807,106.0
-16.34524631500244,113.0
-16.34524631500244,115.0
-16.34524631500244,114.0
-16.34524631500244,117.0
-16.34524631500244,116.0
-16.34524631500244,120.0
-16.34524631500244,119.0
-16.34524631500244,118.0
-16.289403200149536,125.0
-16.289403200149536,124.0
-16.289403200149536,129.0
-16.289403200149536,122.0
-16.289403200149536,123.0
-16.289403200149536,127.0
-16.289403200149536,126.0
-16.289403200149536,121.0
-16.289403200149536,128.0
-16.237451314926147,135.0
-16.237451314926147,130.0
-16.237451314926147,131.0
-16.237451314926147,136.0
-16.237451314926147,138.0
-16.237451314926147,137.0
-16.237451314926147,134.0
-16.237451314926147,132.0
-16.237451314926147,133.0
-16.194620609283447,139.0
-16.194620609283447,142.0
-16.194620609283447,141.0
-16.194620609283447,140.0
-16.194620609283447,147.0
-16.194620609283447,146.0
-16.194620609283447,145.0
-16.194620609283447,144.0
-16.194620609283447,143.0
-16.14154863357544,150.0
-16.14154863357544,149.0
-16.14154863357544,148.0
-16.14154863357544,155.0
-16.14154863357544,154.0
-16.14154863357544,153.0
-16.14154863357544,152.0
-16.14154863357544,151.0
-16.093676805496216,158.0
-16.093676805496216,157.0
-16.093676805496216,156.0
-16.093676805496216,162.0
-16.093676805496216,163.0
-16.093676805496216,161.0
-16.093676805496216,160.0
-16.093676805496216,159.0
-16.045398712158203,165.0
-16.045398712158203,166.0
-16.045398712158203,167.0
-16.045398712158203,168.0
-16.045398712158203,169.0
-16.045398712158203,171.0
-16.045398712158203,170.0
-16.045398712158203,164.0
-15.989667654037476,178.0
-15.989667654037476,176.0
-15.989667654037476,177.0
-15.989667654037476,173.0
-15.989667654037476,174.0
-15.989667654037476,175.0
-15.989667654037476,172.0
-15.941356897354126,181.0
-15.941356897354126,182.0
-15.941356897354126,180.0
-15.941356897354126,185.0
-15.941356897354126,183.0
-15.941356897354126,184.0
-15.941356897354126,179.0
-15.896639823913574,187.0
-15.896639823913574,191.0
-15.896639823913574,186.0
-15.896639823913574,188.0
-15.896639823913574,189.0
-15.896639823913574,190.0
-15.849587440490723,192.0
-15.849587440490723,196.0
-15.849587440490723,195.0
-15.849587440490723,193.0
-15.849587440490723,197.0
