SECONDS,prefix_cache_block_hits
1746681708.5960102,0.0
1746681708.6492183,0.0
1746681708.689922,0.0
1746681708.7292323,0.0
1746681708.7685359,0.0
1746681708.8179812,0.0
1746681708.8631303,0.0
1746681708.907402,0.0
1746681708.9570765,0.0
1746681709.00213,0.0
1746681709.0541942,0.0
1746681709.1005638,0.0
1746681709.1426423,0.0
1746681709.1930556,0.0
1746681709.2419813,0.0
1746681709.2971394,0.0
1746681709.3463364,0.0
1746681709.389992,0.0
1746681709.470559,384.0
1746681709.5302796,768.0
1746681709.5730267,1152.0
1746681709.6227305,1536.0
1746681709.6654954,1920.0
1746681709.7044022,2304.0
1746681709.7538533,2688.0
1746681709.798449,3072.0
1746681709.843028,3456.0
1746681709.8938355,3840.0
1746681709.9498487,4224.0
1746681709.9977975,4608.0
1746681710.041799,4992.0
1746681710.0897923,5376.0
1746681710.1490192,6144.0
1746681710.194121,6912.0
1746681710.250065,7680.0
1746681710.2970436,8448.0
1746681710.3392272,9216.0
1746681710.38357,9984.0
1746681710.4330268,10752.0
1746681710.4819186,11520.0
1746681710.5371165,12288.0
1746681710.6022406,13440.0
1746681710.636712,14592.0
1746681710.8941863,15904.0
1746681710.9424608,17216.0
1746681710.9966602,18688.0
1746681711.0421627,20160.0
1746681711.102352,22016.0
1746681711.1590257,24256.0
1746681711.2191699,26880.0
1746681711.268357,29504.0
1746681711.3268292,32512.0
1746681711.373999,35521.0
1746681711.4381301,38689.0
1746681711.4863102,41857.0
1746681711.5494876,45409.0
1746681711.6064165,49345.0
1746681711.6547537,53281.0
1746681711.7105968,57249.0
1746681711.7625487,61217.0
1746681711.8053794,65185.0
1746681711.8584514,69153.0
1746681711.9063232,73121.0
1746681711.9546013,77089.0
1746681712.0103323,81057.0
1746681712.058643,85025.0
1746681712.1033602,88993.0
1746681712.1504126,92961.0
1746681712.198299,96929.0
1746681712.247272,100897.0
1746681712.2949176,104865.0
1746681712.3540442,108993.0
1746681712.4012527,113121.0
1746681712.4546778,117633.0
1746681712.4985979,122145.0
1746681712.5472639,126657.0
1746681712.6062279,131329.0
1746681712.6570787,136001.0
1746681712.7013464,140673.0
1746681712.7652187,145729.0
1746681712.8181288,151169.0
1746681712.8750803,156993.0
1746681712.9233646,162817.0
1746681712.9853177,169025.0
1746681713.0098577,175233.0
1746681713.031952,181441.0
1746681713.0558274,187649.0
1746681713.0798428,193857.0
1746681713.11383,200065.0
1746681713.1377175,206273.0
1746681713.1597533,212481.0
1746681713.180005,218689.0
1746681713.2038376,224897.0
1746681713.2280965,231105.0
1746681713.2497768,237313.0
1746681713.2736106,243521.0
1746681713.295453,249729.0
1746681713.3237479,255937.0
1746681713.3429902,262145.0
1746681713.3736236,268353.0
1746681713.4019756,274561.0
1746681713.4234278,280769.0
1746681713.440033,286977.0
1746681713.4567418,293185.0
1746681713.4858387,299393.0
1746681713.5097542,305601.0
1746681713.5311346,311809.0
1746681713.5579264,318017.0
1746681713.5792391,324225.0
1746681713.5991879,330433.0
1746681713.6220853,336641.0
1746681713.6465394,342849.0
1746681713.6664684,349057.0
1746681713.6863875,355265.0
1746681713.706191,361473.0
1746681713.7263122,367681.0
1746681713.7463138,373889.0
1746681713.797917,380129.0
1746681713.8423274,386369.0
1746681713.882349,392609.0
1746681713.9297721,398849.0
1746681713.975157,405089.0
1746681714.0278149,411329.0
1746681714.0699325,417569.0
1746681714.1163409,423809.0
1746681714.1646876,430049.0
1746681714.2098835,436289.0
1746681714.2579584,442529.0
1746681714.3139796,448769.0
1746681714.36662,455041.0
1746681714.411347,461313.0
1746681714.4620774,467585.0
1746681714.5077183,473857.0
1746681714.5540304,480129.0
1746681714.600478,486401.0
1746681714.6528542,492673.0
1746681714.7020614,498945.0
1746681714.7501116,505217.0
1746681714.8003008,511521.0
1746681714.8543074,517985.0
1746681714.9037218,524449.0
1746681714.9469728,530913.0
1746681714.9942698,537377.0
1746681715.050457,544001.0
1746681715.1013412,550625.0
1746681715.1693199,557281.0
1746681715.2127435,563937.0
1746681715.261173,570593.0
1746681715.3063467,577249.0
1746681715.3543472,583905.0
1746681715.4028056,590561.0
1746681715.4534645,597217.0
1746681715.498808,603873.0
1746681715.5479326,610529.0
1746681715.5969985,617185.0
1746681715.6477423,623841.0
1746681715.7000237,630497.0
1746681715.750226,637153.0
1746681715.8074043,643809.0
1746681715.8650658,650465.0
1746681715.9142935,657121.0
1746681715.9694753,663777.0
1746681716.0334136,670433.0
1746681716.0903037,677089.0
1746681716.142653,683745.0
1746681716.1915202,690401.0
1746681716.247347,697057.0
1746681716.299312,703713.0
1746681716.3485496,710369.0
1746681716.4067924,717025.0
1746681716.4809585,724065.0
1746681716.5413444,731105.0
1746681716.5954444,738305.0
1746681716.6503127,745505.0
1746681716.7190483,753089.0
1746681716.778417,760833.0
1746681716.8360872,768737.0
1746681716.8926353,776641.0
1746681716.950557,784577.0
1746681716.9984157,792513.0
1746681717.066655,800833.0
1746681717.118402,809153.0
1746681717.174507,817473.0
1746681717.2376015,825953.0
1746681717.2865133,834433.0
1746681717.35244,843297.0
1746681717.4148178,852545.0
1746681717.4707792,861793.0
1746681717.5392694,871425.0
1746681717.6109118,881441.0
1746681717.6633976,891457.0
1746681717.7309525,901505.0
1746681717.7818234,911553.0
1746681717.8352175,921601.0
1746681717.8866677,931649.0
1746681717.942373,941697.0
1746681717.9931765,951745.0
1746681718.046768,961793.0
1746681718.0947819,971841.0
