SECONDS,prefix_cache_block_misses
1746681708.5960102,576.0
1746681708.6492183,1152.0
1746681708.689922,1728.0
1746681708.7292323,2304.0
1746681708.7685359,2880.0
1746681708.8179812,3456.0
1746681708.8631303,4032.0
1746681708.907402,4608.0
1746681708.9570765,5184.0
1746681709.00213,5760.0
1746681709.0541942,6336.0
1746681709.1005638,6912.0
1746681709.1426423,7488.0
1746681709.1930556,8064.0
1746681709.2419813,8640.0
1746681709.2971394,9216.0
1746681709.3463364,9792.0
1746681709.389992,10368.0
1746681709.470559,10976.0
1746681709.5302796,12000.0
1746681709.5730267,13024.0
1746681709.6227305,14048.0
1746681709.6654954,15072.0
1746681709.7044022,16096.0
1746681709.7538533,17120.0
1746681709.798449,18144.0
1746681709.843028,19168.0
1746681709.8938355,20192.0
1746681709.9498487,21216.0
1746681709.9977975,22240.0
1746681710.041799,23264.0
1746681710.0897923,24288.0
1746681710.1490192,25376.0
1746681710.194121,26464.0
1746681710.250065,27776.0
1746681710.2970436,29088.0
1746681710.3392272,30400.0
1746681710.38357,31712.0
1746681710.4330268,33024.0
1746681710.4819186,34336.0
1746681710.5371165,35648.0
1746681710.6022406,36992.0
1746681710.636712,38336.0
1746681710.8941863,39744.0
1746681710.9424608,41152.0
1746681710.9966602,42624.0
1746681711.0421627,44096.0
1746681711.102352,45600.0
1746681711.1590257,47136.0
1746681711.2191699,48736.0
1746681711.268357,50336.0
1746681711.3268292,52000.0
1746681711.373999,53664.0
1746681711.4381301,55392.0
1746681711.4863102,57120.0
1746681711.5494876,58880.0
1746681711.6064165,60704.0
1746681711.6547537,62528.0
1746681711.7105968,64768.0
1746681711.7625487,67008.0
1746681711.8053794,69248.0
1746681711.8584514,71488.0
1746681711.9063232,73728.0
1746681711.9546013,75968.0
1746681712.0103323,78208.0
1746681712.058643,80448.0
1746681712.1033602,82688.0
1746681712.1504126,84928.0
1746681712.198299,87168.0
1746681712.247272,89408.0
1746681712.2949176,91648.0
1746681712.3540442,93952.0
1746681712.4012527,96256.0
1746681712.4546778,98656.0
1746681712.4985979,101056.0
1746681712.5472639,103456.0
1746681712.6062279,105920.0
1746681712.6570787,108384.0
1746681712.7013464,110848.0
1746681712.7652187,113344.0
1746681712.8181288,115872.0
1746681712.8750803,118464.0
1746681712.9233646,121056.0
1746681712.9853177,123680.0
1746681713.0098577,126304.0
1746681713.031952,128928.0
1746681713.0558274,131552.0
1746681713.0798428,134176.0
1746681713.11383,136800.0
1746681713.1377175,139424.0
1746681713.1597533,142048.0
1746681713.180005,144672.0
1746681713.2038376,147296.0
1746681713.2280965,149920.0
1746681713.2497768,152544.0
1746681713.2736106,155168.0
1746681713.295453,157792.0
1746681713.3237479,160416.0
1746681713.3429902,163040.0
1746681713.3736236,165664.0
1746681713.4019756,168288.0
1746681713.4234278,170912.0
1746681713.440033,173536.0
1746681713.4567418,176160.0
1746681713.4858387,178784.0
1746681713.5097542,181408.0
1746681713.5311346,184032.0
1746681713.5579264,186656.0
1746681713.5792391,189280.0
