SECONDS,request_arrived
-20.119972467422485,1.0
-20.108826398849487,2.0
-20.09780216217041,3.0
-20.08680272102356,4.0
-20.075838088989258,5.0
-20.064949989318848,6.0
-17.386831760406494,7.0
-17.375991106033325,8.0
-17.365122318267822,9.0
-17.354250192642212,10.0
-17.342476844787598,11.0
-17.331527709960938,12.0
-17.3206946849823,13.0
-17.309871912002563,14.0
-17.299006700515747,15.0
-17.28812885284424,16.0
-17.277259349822998,17.0
-17.266369581222534,18.0
-17.255537509918213,19.0
-15.332466840744019,20.0
-15.320813655853271,21.0
-15.309938192367554,22.0
-15.299070835113525,23.0
-14.306145906448364,24.0
-14.294319152832031,25.0
-14.282536268234253,26.0
-14.270800590515137,27.0
-14.259113550186157,28.0
-14.247407674789429,29.0
-14.235729455947876,30.0
-14.223867893218994,31.0
-14.212061643600464,32.0
-14.200143575668335,33.0
-14.188307762145996,34.0
-14.176429748535156,35.0
-14.164544582366943,36.0
-14.152683019638062,37.0
-11.254633665084839,38.0
-11.242767810821533,39.0
-11.230924129486084,40.0
-11.218692541122437,41.0
-11.206841707229614,42.0
-11.195019245147705,43.0
-11.183245420455933,44.0
-10.20369005203247,45.0
-9.198212623596191,46.0
-8.192241191864014,47.0
-8.180406332015991,48.0
-8.163788557052612,49.0
-8.138856649398804,50.0
-8.127072811126709,51.0
-8.115387916564941,52.0
-7.130354166030884,53.0
-5.125137567520142,54.0
-5.113292455673218,55.0
-5.101431608200073,56.0
-5.089557409286499,57.0
-5.077856063842773,58.0
-5.066129207611084,59.0
-5.054331064224243,60.0
-5.042401313781738,61.0
-5.02631139755249,62.0
-5.015376329421997,63.0
-4.999401330947876,64.0
-4.988527536392212,65.0
-4.038246393203735,66.0
-2.031449317932129,67.0
-2.0197677612304688,68.0
-2.019054412841797,69.0
-1.996478796005249,70.0
-1.985297441482544,71.0
0.015395402908325195,72.0
1.0288116931915283,73.0
1.0407490730285645,74.0
1.0577490329742432,75.0
1.0695340633392334,76.0
1.0812733173370361,77.0
1.0930848121643066,78.0
1.1057469844818115,79.0
1.1175975799560547,80.0
1.1294279098510742,81.0
1.141282320022583,82.0
1.1532318592071533,83.0
1.1651020050048828,84.0
1.1784653663635254,85.0
